"Ref_N","Reference"
520,"O'Brien, T. G., Kinnaird, M. F., & Wibisono, H. T. (2003). Crouching tigers, hidden prey: Sumatran tiger and prey populations in a tropical forest landscape. Animal Conservation, 6(2), 131-139."
521,"Gates, C. E., Marshall, W. H., & Olson, D. P. (1968). Line transect method of estimating grouse population densities. Biometrics, 135-145."
522,"文雪,严勇,和梅香,冉江洪,马晓龙,邱瑞军 & 王妮.(2020).2种调查方法对四川黑竹沟国家级自然保护区3种雉类种群密度调查的比较. 四川动物(01),68-74."
523,"钟雪,邓玥,杨彪,赵成,王彬 & 周材权.(2020).四川白水河国家级自然保护区红腹锦鸡种群密度及微生境选择. 四川大学学报(自然科学版)(01),174-180. "
524,"Selvan, K. M., Lyngdoh, S., Veeraswami, G. G., & Habib, B. (2013). An assessment of abundance, habitat use and activity patterns of three sympatric pheasants in an Eastern Himalayan Lowland tropical Forest of Arunachal Pradesh, India. Asian Journal of Conservation Biology, 2(1), 52-60."
525,"Wanghongsa, S., & Hayashi, Y. (2010). Activity and density of red jungle fowl Gallus gallus in a dry evergreen forest in Thailand. Journal of Yamashina Institute for Ornithology, 41, 141-152."
526,"Palei, H. S., Sahu, H. K., & Nayak, A. K. (2016). Estimating the density of Red Junglefowl Gallus gallus (Galliformes: Phasianidae) in the tropical forest of Similipal Tiger Reserve, eastern India. Journal of Threatened Taxa, 8(2), 8495-8498."
527,"Ramesh, T., et al. (2012). Status of large carnivores and their prey in tropical rainforests of South-western Ghats, India. Tropical Ecology, 53(2), 137-148."
528,"Honsefugl Portalen (https://honsefugl.nina.no/Innsyn/Home/Takseringene)"
529,"Evans et al. (2006). Alternative methods for estimating density in an upland game bird: the red grouse Lagopus lagopus scoticus. Wildlife Biology, 13(2):130-139."
530,"Warren, P., & Baines, D. (2011). Evaluation of the distance sampling technique to survey red grouse Lagopus lagopus scoticus on moors in northern England. Wildlife biology, 17(2), 135-143."
531,"Fuglei, E., et al. (2019). Circumpolar status of Arctic ptarmigan: Population dynamics and trends. Ambio, 1-13."
532,"Imperio, S., Bionda, R., Viterbi, R., & Provenzale, A. (2013). Climate change and human disturbance can lead to local extinction of Alpine rock ptarmigan: New insight from the Western Italian Alps. PloS one, 8(11), e81598."
533,"Aleix-Mata, G., Mossoll-Torres, M., Marty, E., Boos, M., Sánchez, A., & Pérez, J. M. (2020). Distance sampling vs. plot sampling for monitoring population abundances of the Pyrenean rock ptarmigan. European Journal of Wildlife Research, 66(4), 1-9."
534,"Nopp-Mayr, U., & Zohmann, M. (2008). Spring densities and calling activities of Rock Ptarmigan (Lagopus muta helvetica) in the Austrian Alps. Journal of Ornithology, 149(1), 135-139."
535,"Suwanrat, S., Ngoprasert, D., Sutherland, C., Suwanwaree, P., & Savini, T. (2015). Estimating density of secretive terrestrial birds (Siamese fireback) in pristine and degraded forest using camera traps and distance sampling. Global Ecology and Conservation, 3, 596-606."
536,"Clemente-Sánchez, F., Rosas-Rosas, O. C., & Tarango-Arámbula, L. A. (2021). Wild turkey (Meleagris gallopavo mexicana) monitoring: Innovation in sampling and estimator of population density. Agro Productividad, 14(6), 59-65."
537,"Aziz, M., Khalid, Z., Shahid, M. Z., Akhter, A., & Aziz, R. (2024). Population Density and Habitat Analysis of Grey Francolin (Ortygornis pondicerianus) in Taunsa Wildlife Sanctuary, Punjab. Pakistan. Journal of WIldlife and Ecology, 8, 27-35."
538,"Kopij, G. (2024). Distribution and Population Densities of Less Common Granivorous Birds in Zambezi Riparian Forest, NE Namibia. International Journal of Research, 8(1), 21-26."
539,"Ram, M., Vasavada, D., Mehta, D., Mesariya, D. (2021) Density, abundancem and biomass of wild prey in the asiatic lion landscape. Journal of Bombay Natural History Society 118(1), 3-24"
540,"Jhala, Y.V., Qureshi, Q., Gopal, R., Sinha, P.R. (Eds.) (2011). Status of the Tigers, Co-predators, and Prey in India, 2010. National Tiger Conservation Authority, Govt. of India, New Delhi, and Wildlife Institute of India, Dehradun. TR 2011/003 pp-302"
541,"Harihar, A., Pandav, B., & Goyal, S. P. (2011). Responses of leopard Panthera pardus to the recovery of a tiger Panthera tigris population. Journal of Applied Ecology, 48(3), 806-814."
542,"Ram, M., Sahu, A., Srivastava, N., Chaudhary, R., Jhala, L., & Zala, Y. (2023). The semi-arid ecosystem of Asiatic Lion Landscape in Saurashtra, Gujarat: Population density, biomass and conservation of nine wild prey species. Plos one, 18(9), e0292048."
543,"王方.(2021).野生绿孔雀活动节律及其与伴生鸟兽联结关系分析(硕士学位论文,云南大学). https://kns.cnki.net/kcms2/article/abstract?v=wYgW8A8u9vpJ-XCby37cy9Lh6BaRoMM2ctCSLd9wfgrB7NvmIy4R4LdxfEZ-iVZZpcSn5rBfzzmJXGm3HkiYJpoUibZvkqZ2QGWZBrvy8HMm8iAHyBZSUS1AYVVXyM4E_3ath_eZQHk=&uniplatform=NZKPT&language=CHS"
544,"Chiatante, G., & Meriggi, A. (2022). Habitat selection and density of common pheasant (Phasianus colchicus) in Northern Italy: effects of land use cover and landscape configuration. European Journal of Wildlife Research, 68(3), 1-11."
545,"Sandakova, S. L., Motina, N. V., Kozak, S. S., Gromov, I. Y., Toushkin, A. A., Matveeva, O. A., & Krasavina, A. A. (2021, March). State of the Manchurian pheasant Phasianus colchicus pallasi population in Russia, its meat productivity and safety. In IOP Conference Series: Earth and Environmental Science (Vol. 677, No. 5, p. 052095). IOP Publishing."
546,"宋志勇,杨鸿培,余东莉,杨正斌,李俊松,赵建伟 & 王利繁.(2018).西双版纳灰孔雀雉的种群数量现状研究. 西部林业科学(06),67-72. doi:10.16473/j.cnki.xblykx1972.2018.06.012."
547,"佘韶峰.(2024).青华保护区黑颈长尾雉（Syrmaticus humiae）种群数量调查及生境适宜性评价(硕士学位论文,大理大学).https://kns.cnki.net/kcms2/article/abstract?v=FruxrO_GJXLHeYejYI9BIupRhUFN5VZIbxcf70cD6URauvoOjGFZ5LkJcH1lUAxlk5rPMajkFWMJa-ZAGuXVBUtNToJzVC9iwRRiVVg_VCLBgkDJdxGgPRv1X6nLpuYMwx6TymZ2KMI=&uniplatform=NZKPT&language=CHS"
548,"朱井丽,孙雪莹,张琦,崔多英,徐卓,沙力瓦·拍依祖拉木... & 戎可.(2019).大兴安岭北坡黑嘴松鸡越冬期种群密度及夜栖地利用. 生态学报(19),6974-6980."
549,"Wilkinson. (2002). Capercaillie Tetrao urogallus abundance and habitat use in Scotland, in winter 1998–99. Bird Study 49: 177–185"
550,"曹亚珍,赵联军,张塔星,王灿,郑勇,许路 & 冉江洪.(2022).四川王朗国家级自然保护区红喉雉鹑的日活动节律及种群密度. 四川动物(04),379-386. "
551,"卢敏勇.(2022).安溪云中山省级自然保护区黄腹角雉资源现状与保护对策.农业灾害研究(06),30-32."
552,"Aticho, A., Beyene, A., Zelelew, S. A., Puok, C., Morrison, K., Gutema, T. M., & Chala, D. (2024). Uncovering extensive populations of the ‘threatened’Black Crowned Cranes in Gambella, Ethiopia. Global Ecology and Conservation, e02897."
553,"Grueber, C. E., Maxwell, J. M., & Jamieson, I. G. (2012). Are introduced takahe populations on offshore islands at carrying capacity? Implications for genetic management. New Zealand Journal of Ecology, 36(2), 1."
554,"Riou et al. (2010). A 10-year assessment of Asian Houbara Bustard populations: trends in Kazakhstan reveal important regional differences. Bird Conservation International 21(02), 134-141"
555,"Carrascal, L. M., Palomino, D., Seoane, J., & Alonso, C. L. (2008). Habitat use and population density of the houbara bustard Chlamydotis undulata in Fuerteventura (Canary Islands). African Journal of Ecology, 46(3), 291-302."
556,"Martínez, C. (2008). Distribution, density and productivity of great bustards Otis tarda in northwestern Spain: a regional approach. Journal of Ornithology, 149(4), 507-514."
557,"De La Morena, E. L. G., Morales, M. B., De Juana, E., & Suarez, F. (2007). Surveys of wintering Little Bustards Tetrax tetrax in central Spain: distribution and population estimates at a regional scale. Bird Conservation International, 17(01), 23-34."
558,"Santangeli, A., & Dolman, P. M. (2011). Density and habitat preferences of male little bustard across contrasting agro-pastoral landscapes in Sardinia (Italy). European Journal of Wildlife Research, 57, 805-815."
559,"Santangeli, A., Cardillo, A., Pes, M., & Aresu, M. (2023). Alarming decline of the Little Bustard Tetrax tetrax in one of its two population strongholds in Sardinia, Italy. Bird Conservation International, 33, e57."
560,"Paracuellos, M. (1996). Dinámica anual de la comunidad de Paseriformes en carrizales costeros del sudeste ibérico. Doñana, Acta Vertebrata, 23, 33-44."
561,"Cherenkov, S. E. (2020). Ecological Population Status of the Most Common Bird Species in Northern Altai Low-Mountain Forests and the Principal Difference in Avifauna Status in Altai and Baikal Regions. Contemporary Problems of Ecology, 13(6), 590-599."
562,"Bak, T., R. Camp, C. Farmer, R. Rounds, S. Plentovich, J. Vetter, and P. Banko. 2024. Nihoa and Laysan Island passerines population abundances, trends, and habitat utilization. Hawai‘i Cooperative Studies Unit Technical Report HCSU-107. University of Hawai‘i at Hilo. 35 pages. https://hdl.handle.net/10790/5393"
563,"Maclean et al. (2003). Effects of habitat degradation on avian guilds in East African papyrus Cyperus papyrus swamps. Bird Conservation International 13:283–297."
564,"Brandl. R. and Walberer. E. (1982) Zur ornithologischen bedeutung von BrachfU1chen.. . Anzeiger der Ornithologischen GeseUschaft in Bayern, 21, pp.21-41. "
565,"Britton, P. L. (1978). Seasonality, density and diversity of birds of a papyrus swamp in western Kenya. Ibis, 120(4), 450-466."
566,"Jiménez, J., Hernández, J. M., Feliú, J., Carrasco, M., & Moreno-Opo, R. (2018). Breeding in a Dry Wetland. Demographic Response to Drought in the Common Reed-Warbler Acrocephalus scirpaceus. Ardeola, 65(2), 247-259."
567,"Willemoes, M., Tøttrup, A.P., Lerche-Jørgensen, M., JACOBSEN, E.M., REEVE, A.H., & THORUP, K. (2017). Spatial behaviour and density of three species of long-distance migrants wintering in a disturbed and non-disturbed woodland in northern Ghana. Bird Conservation International, 1-14."
568,"Lambertini, M. (1981) Censimento degli uccelli nidificanti in un bosco litoraneo delIa Toscana Avocetta. 5, pp.65-86. "
569,"Oparin, M. L., Mamaev, A. B., Oparina, O. S., & Trofimova, L. S. (2021). Analysis of the Long-Term Dynamics of the Lark Population (Alaudidae, Aves) in the Semi-Desert in the Northwestern Caspian Lowland. Biology Bulletin, 48(10), 1972-1979."
570,"de Kock, C., & Lee, A. T. (2019). Agulhas long-billed lark (Certhilauda brevirostris) densities, population estimates and habitat association in a transformed landscape. African Zoology, 54(3), 161-168."
571,"Smith, G. W., Nydegger, N. C., & Yensen, D. L. (1984). Passerine bird densities in shrubsteppe vegetation. Journal of Field Ornithology, 261-264."
572,"Costa L. (1984). Composición de la comunidad de aves en pinares del Parque Nacional de Doñana. Doñana: Acta Vertebrata, 11, pp.151-183. "
573,"阮韵.(2023).广西内陆风电场建设区鸟类种群密度和有效样线宽度及其影响因素的研究(硕士学位论文,广西师范大学). https://kns.cnki.net/kcms2/article/abstract?v=axnrJTP8flzO7nVrAoPsrnYv8sNfFaBb2_SpulSxJc9dOJaHqW8Sgy4j-mh1kaeH5P1I5NgB-Pzzry8F5R-bhBev2Q_W481J-uDJYmrgbpnrlOpNo60-04uZ2mMCH2c421kRypM_eAM=&uniplatform=NZKPT&language=CHS"
574,"Shankar Raman. (2003). Assessment of census techniques for interspecific comparisons of tropical rainforest bird densities: a field evaluation in the Western Ghats, India. Ibis 145: 9–21"
575,"Brawn. J. D.. Boeclden, W. J. and Bahia. R. P. (1987) Investigations of density interactions  birds in ponderosa pine forests: correlative and experimental evidence. Oecogia, 72, pp.348-357. "
576,"Gaines. (2007). Short-Term Response of Land Birds to Ponderosa Pine Restoration. Restoration Ecology 15(4): 670–678"
577,"Brinck, K. W. 2020. Forest bird population trends within Haleakalā National Park. Hawai‘i Cooperative Studies Unit Technical Report HCSU-097. University of Hawai‘i at Hilo. 31 pages."
578,"Lee, A. T., & Barnard, P. (2016). Endemic birds of the Fynbos biome: a conservation assessment and impacts of climate change. Bird Conservation International, 26(1), 52-68."
579,"Shaw & Shewri. (2001). Population density and habitat associations of restricted-range bird species at Ruhija, Bwindi Impenetrable Forest, Uganda. Bird Conservation International 11:161–174"
580,"Joseph, L. N., Elkin, C., Martin, T. G., & Possingham, H. P. (2009). Modeling abundance using N‐mixture models: the importance of considering ecological mechanisms. Ecological Applications, 19(3), 631-642."
581,"Prado, L., Dias, T., Araújo, L., Silveira, L., & Francisco, M. (2022). Population density estimates and key microhabitat parameters for two endangered tropical forest understory insectivorous passerines from the Pernambuco Endemism Center. Avian Conservation and Ecology, 17(2)"
582,"Johnson, T. F., & Murn, C. (2021). Density of Pied Crows Corvus albus in two of South Africa’s protected areas. African Journal of Ecology,60(3): 843-847"
583,"Chiatante, G., & Meriggi, A. (2019). The occurrence and density of three sympatric corvids in a Mediterranean agroecosystem explained by land use. Journal of Ornithology, 1-18."
584,"Yu, J., Lü, N., Yun, F., & Yue-Hua, S. (2011). Home range, population density, and habitat utilization of the Sichuan jay (Perisoreus internigrans). Chin Birds, 2, 94-100."
585,"Prado, L. C., Dias, T. D. C., Lobo-Araújo, L. W., Silveira, L. F., & Francisco, M. R. (2022). Population density estimates for three endangered bird taxa from the Pernambuco Endemism Center, northeastern Brazil. Biota Neotropica, 22."
586,"Ferrato, J. R., Simpson, T. R., Small, M. F., Veech, J. A., & Conway, M. H. (2017). Population density and habitat associations of the Seaside Sparrow (Ammodramus maritimus) on Laguna Atascosa National Wildlife Refuge, Cameron County, Texas. The Wilson Journal of Ornithology, 129(1), 131-138."
587,"Meichtry-Stier, K. S., Jenny, M., Zellweger-Fischer, J., & Birrer, S. (2014). Impact of landscape improvement by agri-environment scheme options on densities of characteristic farmland bird species and brown hare (Lepus europaeus). Agriculture, ecosystems & environment, 189, 101-109."
588,"Smith et al. (2005). Density and diversity of overwintering birds in managed field borders in mississippi. Wilson bulletin 117(3): 258–269"
589,"Chase, M. K., Nur, N., & Geupel, G. R. (2005). Effects of weather and population density on reproductive success and population dynamics in a Song Sparrow (Melospiza melodia) population: A long-term study. The Auk, 122(2), 571-592."
590,"Mizrahi, D., Tsipoura, N., Witkowski, K., & Bisignano, M. (2007). Avian Abundance and Distribution in the New Jersey Meadowlands District: The Importance of Habitat, Landscape, and Disturbance. Final report to the New Jersey Meadowlands Commission. 108pp."
591,"Wood, D. R., Anderson, R. G., & Eason, D. M. (2019). Tree swallow (Tachycineta bicolor) abundance, density, and nest outcomes at Red Slough Wildlife Management Area, McCurtain County, Oklahoma. Bulletin of the Oklahoma Ornithological Society, 48(1)."
592,"Juárez, R., Angulo Irola, M. D. L. P., Carman, E. M., & Sandoval, L. (2021). Territory size, population density, and natural history of Cabanis’s Ground Sparrow, an endemic species found in urban areas. Ornithology Research 29: 227–239"
593,"Suarez Sharma, S. P., Dobney, S. L., Norris, D. R., Doucet, S. M., Newman, A. E., Burant, J. B., Moran, I.G., Mueller, S.D., Spina, H.A., & Mennill, D. J. (2024). Effects of age, breeding strategy, population density, and number of neighbors on territory size and shape in Passerculus sandwichensis (Savannah Sparrow). Ornithology, ukae025."
594,"Eisermann, K., Avendaño, C., & Matías, E. (2017). Nesting evidence, density and vocalisations in a resident population of Savannah Sparrow Passerculus sandwichensis wetmorei in Guatemala. Bull. B.O.C. 137(1)"
595,"Ortega-Alvarez, R. et al. (2021). How many are left? Density and population size of the endangered Sierra Madre Sparrow across central Mexico. Journal of Ornithology, 162(1), 31-41."
596,"Bayne, Habib & Boutin. (2008). Impacts of Chronic Anthropogenic Noise from Energy-Sector Activity on Abundance of Songbirds in the Boreal Forest. Conservation Biology 22(5): 1186-1193"
597,"Sebastián-González, E., Camp, R. J., Tanimoto, A. M., de Oliveira, P. M., Lima, B. B., Marques, T. A., & Hart, P. J. (2018). Density estimation of sound-producing terrestrial animals using single automatic acoustic recorders and distance sampling. Avian Conservation and Ecology 13(2):7"
598,"Carrascal, L. M., Delgado, A., Suarez, V., & Moreno, A. C. (2022). Population size, abundance, habitat relationships and the result of a translocation programme in the Gran Canaria Blue Chaffinch Fringilla polatzeki. Bird Conservation International, 32(3), 460-475."
599,"Judge, S. W., Warren, C. C., Camp, R. J., Berthold, L. K., Mounce, H. L., Hart, P. J., & Monello, R. J. (2021) Population estimates and trends of three Maui Island‐endemic Hawaiian Honeycreepers. Journal of Field Ornithology, 92(2), 115-126"
600,"Freitas, G. H., Costa, L. M., & Rodrigues, M. (2019). Home‐ranges, population densities, vocal behavior, and post‐fledging movements of Cipo Canasteros (Asthenes luizae, Furnariidae), a rock‐specialist endemic of the highlands of eastern Brazil. Journal of Field Ornithology, 90(3), 215-228."
601,"Ribeiro, J. R., Las-Casas, F. M. G., Silva, W. A. D. G., & Naka, L. N. (2021). Managed logging negatively affects the density and abundance of some dry forest specialist bird species of northeastern Brazil. Ornithological Applications."
602,"Assandri, G., Bogliani, G., Pedrini, P., & Brambilla, M. (2019). Species-specific responses to habitat and livestock management call for carefully targeted conservation strategies for declining meadow birds. Journal for Nature Conservation, 125757."
603,"Sagar, P. M., & Scofield, R. P. (2006). Survival, density and population composition of bellbirds (Anthornis melanura) on the Poor Knights Islands, New Zealand. New Zealand Journal of Zoology, 33(4), 249-257."
604,"Gale et al. (2009). A Field test of distance sampling methods for a tropical forest bird community. The Auk 126(2): 439448"
605,"Kitegile, A., Muganda, M., Modest, R.B. (2013). Assessment of the population status of the elusive bird species Sokoke pipit (Anthus sokokensis) in Zaraninge Coastal forest, TANZANIAN. Proceedings of the Eight Tawiri Scientific Conference 6th-8th December 2011, Corridor Springs Hotel, Arusha, Tanzania. pp: 295-303"
606,"郑炜, 葛晨, 李忠秋, & 黄成. (2012). 鸟类种群密度调查和估算方法初探. 四川动物, 31(1), 84-88."
607,"Paguntalan, L. J., Reintar, A. R., Jakosalem, G. C., Peña, G., & Villarojo, A. (2022). Population density and distribution of the Endangered Black Shama Kittacincla cebuensis. Bird Conservation International, 1-8."
608,"Neubauer, G., & Sikora, A. (2020). Abundance estimation from point counts when replication is spatially intensive but temporally limited: Comparing binomial N-mixture and hierarchical distance sampling models. Ornis Fennica, 97(3), 131-148."
609,"Noske, R. A. (2021). A population of the rare Northern Shrike-tit that forages and breeds in a seasonally inundated paperbark woodland in Arnhem Land, Northern Territory. Northern Territory Naturalist, 30, 36-49."
610,"Stępniewski, J., & Halupka, L. (2018). Overlapping breeding attempts in the Bearded Tit (Panurus biarmicus). Avian Research, 9(1), 22."
611,"Møller, A. P., Senar, J. C., & Lambrechts, M. M. (2020). Interaction of climate change with effects of conspecific and heterospecific density on reproduction. Oikos, 129(12), 1807-1819"
612,"Blondel, J., Pradel, R., & Lebreton, J. D. (1992). Low fecundity insular blue tits do not survive better as adults than high fecundity mainland ones. Journal of Animal Ecology, 205-213."
613,"Kwok & Corlett. (2000). The bird communities of a natural secondary forest and a Lophostemon confertus plantation in Hong Kong, South China. Forest Ecology and Management 130: 227-234"
614,"Zakharov, V. D. (2018). Long-Term Dynamics of Winter Communities of Forest Birds in the Ilmen Nature Reserve. Russian Journal of Ecology, 49(4), 332-337."
615,"Dawson, D. K., & Efford, M. G. (2009). Bird population density estimated from acoustic signals. Journal of Applied Ecology, 46(6), 1201-1209."
616,"Van Dyke, F., Harju, S., Hindy, M., Cannata, N., Schmidt, E., Hillman, E., Sargent, A., & Keas, B. (2022). Comparative detection, density, and reproductive performance of Kirtland's warbler in jack and red pine. The Journal of Wildlife Management, e22233."
617,"Raolihanitrasina, S. E., & Steven, M. (2022). Tendance de la population de Passer domesticus (famille des Ploceidae), une espèce d’oiseau envahissant, dans la ville de Toamasina, Madagascar. Malagasy Nature, 16, 103-109."
618,"Jiang, A., Yang, G., Pagani-Núñez, E., & Jiang, D. (2017). Ecology of two Pittas (Pitta soror and Pitta nympha) in limestone forests of South China. Journal of Natural History, 51(31-32), 1929-1941."
619,"Hamitouche, S., Bouchareb, A., & Bougaham, A. F. (2020). Status and distribution of the Algerian Nuthatch’s population (Sitta ledanti Vielliard, 1976) in the Tamentout forest (north-eastern Algeria). Avian Biology Research, 1758155920945842."
620,"Mayache, M. E. A., Temagoult, L., & Moulaï, R. Density prediction and ecological description of the biotope of the Algerian nuthatch (Sitta ledanti), endemic to Algeria. African Journal of Ecology, 59(4), 890-897."
621,"van Rensburg et al. (2009). Biotic homogenization and alien bird species along an urban gradient in South Africa. Landscape and Urban Planning, 92(3), 233-241"
622,"Dallimer & King. (2007). Habitat preferences of the forest birds on the island of Pr ́ıncipe, Gulf of Guinea. Afr. J. Ecol., 46, 258–266"
623,"Moreno-Mosquera, E. A., Drechsler, R. M., & Monrós, J. S. (2021). The effect of vegetation structure on seasonal density of Sylvia warblers in the eastern Iberian Peninsula. Bird Study, 68(1), 112-121."
624,"Mattos, J. C., Vale, M. M., Vecchi, M. B., & Alves, M. A. S. (2009). Abundance, distribution and conservation of the Restinga Antwren Formicivora littoralis. Bird Conservation International, 19(4), 392-400."
625,"Chaves, F. G., Vecchi, M. B., Kenup, C. F., & Alves, M. A. S. (2019). Territory size and population density of the serra antwren (Formicivora serrana littoralis) in the sandy coastal plains of the Atlantic Forest in southeastern Brazil. Annales Zoologici Fennici 56(1-6): 51-64"
626,"Gómez-Hoyos, D. A., Marín-Gómez, O. H., Ortiz, Y. L. C., José, P., & Carmona, C. (2021) Population density of the Multicolored tanager (Chlorochrysa nitidissima) in the Important Bird Area Barbas-Bremen (Quindío, Colombia). Ornitología Colombiana 20: 1-11"
627,"Seminario Rebolledo, M., Castillo Benites, H., Zelada Estraver, W., & Pollack Velásquez, L. (2017). Distribución y densidad poblacional de Incaspiza pulchra Sclater (1886)(Aves: Thraupidae) en el ACP Lomas del Cerro Campana, La Libertad, 2016-2017. Arnaldoa, 24(2), 635-644."
628,"Saracco, J. F., Holmgren, A. L., Wilkerson, R. L., Siegel, R. B., Kuntz II, R. C., Jenkins, K. J., Happe, P.J., Boetsch, J.R., & Huff, M. H. (2014). Landbird trends in national parks of the North Coast and Cascades Network, 2005-12 (No. 2014-1202). US Geological Survey."
629,"Wijesundara, C. S., Yatigammana, S. Y., & Silva, P. (2020). Changes in Population Densities of Two White-Eye Species (Passeriformes: Zosteropidae) Along an Altitudinal Gradient in Sri Lanka. Tropical Agricultural Research, 31(2), 29-40."
630,"John, J. R. (2013). Shoebill population estimates in Tanzania from 2,500 in 1990 to< 200 birds in 2011: what went wrong?. TAWIRI Biennual Conference Proceedings, 77-90"
631,"Roxburgh, L., & Buchanan, G. M. (2010). Revising estimates of the Shoebill (Balaeniceps rex) population size in the Bangweulu Swamp, Zambia, through a combination of aerial surveys and habitat suitability modelling. Ostrich, 81(1), 25-30."
632,"Gerdzhikov, G., Plachiyski, D., Popgeorgiev, G., Avramov, S., Demerdzhiev, D., Daskalova, G., & Shurulinkov, P. White-backed (Lilford’s) Woodpecker Dendrocopos leucotos lilfordi Sharpe & Dresser, 1871: distribution and population density in Bulgaria. North-Western Journal of Zoology, 18(1), 65-70."
633,"Shurulinkov, P., Stoyanov, G., Komitov, E., Daskalova, G., & Ralev, A. (2012). Contribution to the knowledge on distribution, number and habitat preferences of rare and endangered birds in Western Rhodopes Mts, Southern Bulgaria. Strigiformes and Piciformes. Acta Zoologica Bulgarica, 64(1), 43-56."
634,"Renken, R. B., & Wiggers, E. P. (1993). Habitat characteristics related to pileated woodpecker densities in Missouri. The Wilson Bulletin, 77-83."
635,"Blake, W. M., Stone, K. R., Janousek, W. M., & Martin, T. E. (2021). Lewis’s Woodpecker nest success and habitat selection in floodplain and burned forests in western Montana. Journal of Field Ornithology, 92(4), 402-416."
636,"Murphy, E. C., & Lehnhausen, W. A. (1998). Density and foraging ecology of woodpeckers following a stand-replacement fire. The Journal of wildlife management, 1359-1372."
637,"Mohren, S. R., Rumble, M. A., & Anderson, S. H. (2014). Density and abundance of black-backed woodpeckers in a ponderosa pine ecosystem. The Prairie Naturalist. 46 (2): 62-69., 46(2), 62-69."
638,"Martinez, A. E., Aranibar, D. F., & Gutierrez, E. R. (2006). An assessment of the abundance and distribution of the Titicaca Flightless Grebe Rollandia microptera on Lake Titicaca and evaluation of its conservation status. Bird Conservation International, 16(3), 237-251."
639,"Lambert, F. R. (1993). Trade, status and management of three parrots in the North Moluccas, Indonesia: White Cockatoo Cacatua alba, Chattering Lory Lorius garrulus and Violet–eared Lory Eos squamata. Bird Conservation International, 3(02), 145-168."
640,"Jepson, P., Brickle, N., & Chayadin, Y. (2001). The conservation status of Tanimbar corella and blue‐streaked lory on the Tanimbar Islands, Indonesia: results of a rapid contextual survey. Oryx, 35(3), 224-233."
641,"Kinnaird, M. F., O'Brien, T. G., Lambert, F. R., & Purmiasa, D. (2003). Density and distribution of the endemic Seram cockatoo Cacatua moluccensis in relation to land use patterns. Biological conservation, 109(2), 227-235."
642,"Cahill et al. (2006). Recovery within a population of the Critically Endangered citron-crested cockatoo Cacatua sulphurea citrinocristata in Indonesia after 10 years of international trade control. Oryx 40(2): 1-7"
643,"Reuleaux, A., Siregar, B. A., Collar, N. J., Panggur, M. R., Mardiastuti, A., Jones, M. J., & Marsden, S. J. (2020). Protected by dragons: Density surface modeling confirms large population of the critically endangered Yellow-crested Cockatoo on Komodo Island. The Condor, 122(4): duaa042"
644,"Marsden, S. J., Whiffin, M., Sadgrove, L., & Guimarães, P. (2000). Parrot populations and habitat use in and around two lowland Atlantic forest reserves, Brazil. Biological Conservation, 96(2), 209-217."
645,"Hosein, A., Narang, D. S., Rostant, L., & Hailey, A. (2017). The abundance of Red-bellied Macaws (Orthopsittaca manilata) and Orange-winged Parrots (Amazona amazonica) in relation to fruiting Moriche Palms (Mauritia flexuosa) at the Aripo Savannas, Trinidad. Revista Brasileira de Ornitologia, 25(1), 40-46."
646,"Lee, A. T., & Marsden, S. J. (2012). The influence of habitat, season, and detectability on abundance estimates across an Amazonian parrot assemblage. Biotropica, 44(4), 537-544."
647,"Guix, J. C., Marti, M., & Mañosa, S. (1999). Conservation status of parrot populations in an Atlantic rainforest area of southeastern Brazil. Biodiversity & Conservation, 8(8), 1079-1088."
648,"Rivera-Milán F.F., et al. (2005). Estimation of density and population size and recommendations for monitoring trends of Bahama parrots on Great Abaco and Great Inagua. Wildlife Society Bulletin, 33(3), 823-834."
649,"Haakonsson, J. E., Harvey, J., & Rivera-Milán, F. F. (2017). Conservation status of Grand Cayman (Amazona leucocephala caymanensis) and Cayman Brac (Amazona leucocephala hesterna) Parrots. Journal of Caribbean Ornithology, 30(1), 33-38."
650,"Rodriguez-Estrella, R., Mata, E., & Rivera, L. (1992). Ecological notes on the green parakeet of Isla Socorro, Mexico. The Condor, 94(2), 523-525."
651,"Legault et al. (2013). Standardising distance sampling surveys of parrots in New Caledonia. J Ornithol 154:19–33"
652,"Barré, N., Theuerkauf, J., Verfaille, L., Primot, P., & Saoumoé, M. (2010). Exponential population increase in the endangered Ouvéa Parakeet (Eunymphicus uvaeensis) after community-based protection from nest poaching. Journal of Ornithology, 151(3), 695-701."
653,"Casagrande, D. G., & Beissinger, S. R. (1997). Evaluation of four methods for estimating parrot population size. The Condor, 99(2), 445-457."
654,"Evans, B. E., Ashley, J., & Marsden, S. J. (2005). Abundance, habitat use, and movements of Blue-winged Macaws (Primolius maracana) and other parrots in and around an Atlantic forest reserve. The Wilson Bulletin, 117(2), 154-164."
655,"Walker, J. S., & Cahill, A. J. (2000). Population size and status of the Yellow-breasted Racquet-tail Parrot Prioniturus flavicans. Bird Conservation International, 10(02), 131-136."
656,"Powlesland, R. G., Roberts, A., Lloyd, B. D., & Merton, D. V. (1995). Number, fate, and distribution of kakapo (Strigops habroptilus) found on Stewart Island, New Zealand, 1979–92. New Zealand Journal of Zoology, 22(3), 239-248."
657,"McCormack, G., & Künzlè, J. (1996). The'Ura or Rimatara Lorikeet Vini kuhlii: its former range, present status, and conservation priorities. Bird Conservation International, 6(04), 325-334."
