"","ID","cv_window","cv_value","k_cv_value","full_length","species_names","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method","start_year","end_year","unique_years","is_continuous","new_species","PValue_lm","PValue_mk","DetrendNeeded_lm","DetrendNeeded_mk","GBIF_ID"
"92",4382,7,0.116772290508055,0.115906146842582,FALSE,"Cervus elaphus","Cervus_elaphus",1,0,"Hebblewhite, M., D. H. Pletscher, et al. (2002). ""Elk population dynamics in areas with and without predation by recolonizing wolves in Banff National Park, Alberta."" Canadian Journal of Zoology 80: 789-799.","Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","","Wagner, 1844","Red deer / Elk","Bow Valley - central zone, Banff National Park, Alberta","Canada","Canada","North America","Americas","North America",51.083333,-115.083333,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Density (elks/km??)","aerial surveys",1986,2001,16,TRUE,"Cervus elaphus",0.00062504092013966,0.00117487070683846,TRUE,TRUE,2440958
"93",4383,7,0.244322732059557,0.233186651448959,FALSE,"Cervus elaphus","Cervus_elaphus",1,0," Hebblewhite, M., D. H. Pletscher, et al. (2002). ""Elk population dynamics in areas with and without predation by recolonizing wolves in Banff National Park, Alberta."" Canadian Journal of Zoology 80: 789-799.","Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","","Wagner, 1844","Red deer / Elk","Bow Valley - eastern zone, Banff National Park, Alberta","Canada","Canada","North America","Americas","North America",51.08333,-115.08333,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Density (elks/km??)","Aerial surveys",1986,2001,16,TRUE,"Cervus elaphus",0.000713498339623064,0.00342839625284245,TRUE,TRUE,2440958
"94",4384,7,0.262180385882158,0.252318718067721,FALSE,"Cervus elaphus","Cervus_elaphus",1,0," Hebblewhite, M., D. H. Pletscher, et al. (2002). ""Elk population dynamics in areas with and without predation by recolonizing wolves in Banff National Park, Alberta."" Canadian Journal of Zoology 80: 789-799.","Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","","Wagner, 1844","Red deer / Elk","Bow Valley - western zone, Banff National Park, Alberta","Canada","Canada","North America","Americas","North America",51.08333,-115.08333,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Density (elks/km??)","Aerial surveys",1986,2001,16,TRUE,"Cervus elaphus",0.000000582756541129103,0.0000282548739048921,TRUE,TRUE,2440958
"95",4385,3,0.367664598125431,0.319677081604288,FALSE,"Peromyscus maniculatus","Peromyscus_maniculatus",1,0," Kalcounis-Rueppell, M. C., J. S. Millar, et al. (2002). ""Beating the odds: effects of weather on a short-season population of deer mice."" Canadian Journal of Zoology 80: 1594-1601.","Mammalia","Rodentia","Cricetidae","Peromyscus","maniculatus","","(Wagner, 1845)","North American deermouse / deer mouse","Kananaskis Valley - Fortress trapping site, Alberta","Canada","Canada","North America","Americas","North America",51.1,-115.35,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number resident in May","Live trapping",1987,1997,11,TRUE,"Peromyscus maniculatus",0.0174194312058268,0.101041662579591,TRUE,FALSE,2437967
"96",4386,3,0.216469073905372,0.208467512573892,FALSE,"Peromyscus maniculatus","Peromyscus_maniculatus",1,0," Kalcounis-Rueppell, M. C., J. S. Millar, et al. (2002). ""Beating the odds: effects of weather on a short-season population of deer mice."" Canadian Journal of Zoology 80: 1594-1601.","Mammalia","Rodentia","Cricetidae","Peromyscus","maniculatus","NULL","(Wagner, 1845)","North American deermouse / deer mouse","Kananaskis Valley - Grizzly trapping site, Alberta","Canada","Canada","North America","Americas","North America",51.1,-115.35,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number resident in May","Live trapping",1987,1997,11,TRUE,"Peromyscus maniculatus",0.0112012739339494,0.0187844418326928,TRUE,TRUE,2437967
"97",4396,4,0.189988401525051,0.185814655938577,FALSE,"Odocoileus hemionus","Odocoileus_hemionus",1,0," Robinson, H. S., R. B. Wielgus, et al. (2002). ""Cougar predation and population growth of sympatric mule deer and white-tailed deer."" Canadian Journal of Zoology 80: 556-568.","Mammalia","Artiodactyla","Cervidae","Odocoileus","hemionus","","(Rafinesque, 1817)","Mule deer","South-central British Columbia","Canada","Canada","North America","Americas","North America",49.2,-117.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number harvested per unit hunter effort","Harvest data",1987,1999,13,TRUE,"Odocoileus hemionus",0.0000207658733800263,0.000619628474611392,TRUE,TRUE,2440974
"98",4397,3,0.220781949185749,0.210291872074805,FALSE,"Odocoileus virginianus","Odocoileus_virginianus",1,0," Robinson, H. S., R. B. Wielgus, et al. (2002). ""Cougar predation and population growth of sympatric mule deer and white-tailed deer."" Canadian Journal of Zoology 80: 556-568.","Mammalia","Artiodactyla","Cervidae","Odocoileus","virginianus","","(Zimmermann, 1780)","White-tailed deer","South-central British Columbia","Canada","Canada","North America","Americas","North America",49.2,-117.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number harvested per unit hunter effort","Harvest data",1987,1999,13,TRUE,"Odocoileus virginianus",0.0209951826867864,0.0982483487294912,TRUE,FALSE,2440965
"99",4398,7,0.11411606394412,0.11251386958742,FALSE,"Bison bison","Bison_bison",0,0,"Bradley, M. and J. Wilmshurst (2005). ""The fall and rise of bison populations in Wood Buffalo National Park: 1971 to 2003."" Canadian Journal of Zoology 83: 1195-1205.","Mammalia","Artiodactyla","Bovidae","Bison","bison","","(Linnaeus, 1758)","American bison / Wood bison / Plains bison","Jasper National Park, Alberta","Canada","Canada","North America","Americas","North America",52.98333,-118.10238,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of bison","Minimum count survey",1971,2003,33,TRUE,"Bison bison",0.000000000094381291271506,0.000000000502769649642294,TRUE,TRUE,2441176
"100",4399,6,0.0610133435079303,0.0607091010971323,FALSE,"Rangifer tarandus","Rangifer_tarandus",1,0," Government of Canada (1996). The State of Canada's Environment - 1996. Ottawa, Environment Canada.","Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","groenlandicus","L??nnberg, 1909","Reindeer / Caribou","Porcupine caribou herd, northern Yukon","Canada","Canada","North America","Americas","North America",68,-138,0,"Terrestrial","Nearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL",0,"Estimated total population","Unspecified survey",1972,1992,21,TRUE,"Rangifer tarandus",0.0000000144781940284461,0.000000236120906736472,TRUE,TRUE,5220114
"101",4476,7,0.218002016745278,0.209386911108894,FALSE,"Bison bison","Bison_bison",1,0,"Frandsen, D. (2006). PANP Plains bison survey data. Prince Albert National Park, Saskatchewan: Data from Prince Albert National Park - Dan Frandsen dan.frandsen@pc.gc.ca.","Mammalia","Artiodactyla","Bovidae","Bison","bison","","(Linnaeus, 1758)","American bison / Wood bison / Plains bison","Prince Albert National Park, Saskatchewan","Canada","Canada","North America","Americas","North America",53.2,-105.75,1,"Terrestrial","Nearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL",0,"Adult and yearling numbers","Census",1995,2006,12,TRUE,"Bison bison",0.0000935709779954964,0.000588810511332005,TRUE,TRUE,2441176
"102",4543,3,0.58564017771825,0.460946822731642,FALSE,"Mustela erminea","Mustela_erminea",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Carnivora","Mustelidae","Mustela","erminea","","Linnaeus, 1758","Stoat / Short-tailed weasel / Ermine","Rochester, Alberta","Canada","Canada","North America","Americas","North America",53.55,-113.5,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Mustela erminea",0.197820167467168,0.212911902811505,FALSE,FALSE,5219019
"103",4544,14,0.172735725901604,0.168917926261129,FALSE,"Ursus maritimus","Ursus_maritimus",1,0," Stirling, I., N. J. Lunn, et al. (1999). ""Long-term trends in the population ecology of Polar bears in western Hudson Bay in relation to climatic change."" Arctic 52(3): 294-306.","Mammalia","Carnivora","Ursidae","Ursus","maritimus","","Phipps, 1774","Polar bear","Western Hudson Bay","Canada","Canada","North America","NULL","NULL",63.16667,-88.5,0,"Marine","NULL","NULL","NULL","NULL","Arctic","Arctic Ocean","Unknown",0,"Population size","Unspecified",1981,1997,17,TRUE,"Ursus maritimus",0.0886787848618413,0.08212828260953,FALSE,FALSE,2433451
"104",4547,3,0.92659797929022,0.663553710435552,FALSE,"Mustela frenata","Mustela_frenata",0,0,"Keith, L.B. and Cary, J.R. 1991. Mustelid, squirrel, and porcupine population trends during a Snowshoe hare cycle. Journal of Mammalogy 72(2): 373-378.","Mammalia","Carnivora","Mustelidae","Mustela","frenata","","Lichtenstein, 1831","Long-tailed weasel","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Mustela frenata",0.795679626468066,0.310044123876524,FALSE,FALSE,5218919
"105",4549,3,0.575227920251075,0.382913431601147,FALSE,"Mustela vison","Mustela_vison",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Carnivora","Mustelidae","Neovison","vison","","Schreber, 1777","Mink / American mink","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1968,1975,8,TRUE,"Neovison vison",0.135480749099705,0.36880340134896,FALSE,FALSE,5218823
"106",4550,3,0.25147722026523,0.235370376838158,FALSE,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Rodentia","Sciuridae","Tamiasciurus","hudsonicus","","Erxleben, 1777","American red squirrel","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Tamiasciurus hudsonicus",0.0728900551803483,0.0867681727038757,FALSE,FALSE,2437282
"107",4551,3,0.747114702085649,0.56219999769151,FALSE,"Glaucomys sabrinus","Glaucomys_sabrinus",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Rodentia","Sciuridae","Glaucomys","sabrinus","","Shaw, 1801","Northern flying squirrel","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Glaucomys sabrinus",0.388327199315256,0.347262424487581,FALSE,FALSE,2437331
"108",4552,3,0.77937555092878,0.603109674923834,FALSE,"Lepus americanus","Lepus_americanus",0,0," Boonstra, R., C. J. Krebs, et al. (1998). ""Population cycles in small mammals: the problem of explaining the low phase."" Ecology 79(5): 1479-1488.","Mammalia","Lagomorpha","Leporidae","Lepus","americanus","NULL","Erxleben, 1777","Snowshoe hare","Rochester, central Alberta","Canada","Canada","North America","Americas","North America",54.37139,-113.44917,0,"Terrestrial","Nearctic","Temperate grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Hares/ha in April","Unspecified",1962,1975,14,TRUE,"Lepus americanus",0.82124813958262,0.826152464829476,FALSE,FALSE,2436794
"109",4553,3,0.509060387265681,0.403840726600226,FALSE,"Poliocitellus franklinii","Poliocitellus_franklinii",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Rodentia","Sciuridae","Spermophilus","franklinii","","(Sabine, 1822)","Franklin's ground squirrel","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Spermophilus franklinii",0.184695283636036,0.272831756324959,FALSE,FALSE,7946545
"110",4554,8,0.52995250524298,0.467257837683673,FALSE,"Erethizon dorsatus","Erethizon_dorsatus",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Rodentia","Erethizontidae","Erethizon","dorsata","","Linnaeus, 1758","Porcupine / North American porcupine","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1965,1975,11,TRUE,"Erethizon dorsata",0.033822942834894,0.070174853061144,TRUE,FALSE,6066824
"111",4556,3,0.423978354810057,0.377235176687783,FALSE,"Mephitis mephitis","Mephitis_mephitis",0,0," Keith, L. B. and J. R. Cary (1991). ""Mustelid, squirrel, and Porcupine Population Trends during  a Snowshoe Hare Cycle."" Journal of Mammology 72(2): 373-378.","Mammalia","Carnivora","Mephitidae","Mephitis","mephitis","","Schreber, 1776","Skunk / Striped skunk","Rochester, Alberta","Canada","Canada","North America","Americas","North America",58.45,-111.06667,0,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Number of captured individuals per 1000 trap days","Live trapping",1970,1975,6,TRUE,"Mephitis mephitis",0.471668316550823,0.47,FALSE,FALSE,5219380
"112",4560,3,0.600338674352381,0.492872594025958,FALSE,"Myodes gapperi","Myodes_gapperi",0,0," Fryxell, J. M., B. Falls, et al. (1998). ""Long-term dynamics of small mammal populations in Ontario."" Ecology 79(1): 213-225.","Mammalia","Rodentia","Cricetidae","Myodes","gapperi","","(Vigors, 1830)","Southern red-backed vole","Wildlife Research Station near Lake Sasajewun, Algonquin Provincial Park, Ontario","Canada","Canada","North America","Americas","North America",45.595278,-78.523333,1,"Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals catched per unit effort","Live-trap",1952,1987,36,TRUE,"Myodes gapperi",0.766360871294876,0.785099679681465,FALSE,FALSE,5706760
"113",4587,3,0.855287051621991,0.593813994887386,FALSE,"Sorex cinereus","Sorex_cinereus",0,0," Fryxell, J. M., B. Falls, et al. (1998). ""Long-term dynamics of small mammal populations in Ontario."" Ecology 79(1): 213-225.","Mammalia","Soricomorpha","Soricidae","Sorex","cinereus","","Kerr, 1792","Masked shrew","Wildlife Research Station near Lake Sasajewun, Algonquin Provincial Park, Ontario","Canada","Canada","North America","Americas","North America",45.595278,-78.523333,1,"Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals catched per unit effort","Live-trap",1952,1987,36,TRUE,"Sorex cinereus",0.840985942332235,0.835654695907023,FALSE,FALSE,2435964
"114",4588,3,0.924512483781037,0.619581717186035,FALSE,"Napaeozapus insignis","Napaeozapus_insignis",0,0," Fryxell, J. M., B. Falls, et al. (1998). ""Long-term dynamics of small mammal populations in Ontario."" Ecology 79(1): 213-225.","Mammalia","Rodentia","Dipodidae","Napaeozapus","insignis","","Miller, 1891","Woodland jumping mouse","Wildlife Research Station near Lake Sasajewun, Algonquin Provincial Park, Ontario","Canada","Canada","North America","Americas","North America",45.595278,-78.523333,1,"Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals catched per unit effort","Live-traps",1952,1987,36,TRUE,"Napaeozapus insignis",0.878825005709724,0.836474841663479,FALSE,FALSE,2439461
"115",4589,7,0.139692326763336,0.138147367897866,FALSE,"Bison bison","Bison_bison",0,0," Cormack Gates, C., B. Stelfox, et al. (2005). The ecology of bison movements and distribution in and beyond Yellowstone National Park: A critical review with implications for winter use and transboundary population management, Faculty of Environmental Design, University of Calgary, Calgary, Alberta.","Mammalia","Artiodactyla","Bovidae","Bison","bison","","(Linnaeus, 1758)","American bison / Wood bison / Plains bison","Northern range - Yellowstone National Park, USA","United States","United States","North America","Americas","North America",44.66667,-110.46667,1,"Terrestrial","Nearctic","Temperate coniferous forests","NULL","NULL","NULL","NULL","NULL",0,"Individuals","Estimation from count",1970,1997,28,TRUE,"Bison bison",0.00000000000158723309394284,0.0000000153334925203246,TRUE,TRUE,2441176
"116",4590,3,0.493163861957601,0.412008788990978,FALSE,"Tamias striatus","Tamias_striatus",0,0," Fryxell, J. M., B. Falls, et al. (1998). ""Long-term dynamics of small mammal populations in Ontario."" Ecology 79(1): 213-225.","Mammalia","Rodentia","Sciuridae","Tamias","striatus","","Linnaeus, 1758","Eastern chipmunk","Wildlife Research Station near Lake Sasajewun, Algonquin Provincial Park, Ontario","Canada","Canada","North America","Americas","North America",45.595278,-78.523333,1,"Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals catched per unit effort","Live trap",1952,1987,36,TRUE,"Tamias striatus",0.00237229715029311,0.00564392723299768,TRUE,TRUE,2437438
"117",4591,3,0.547183512473549,0.414691428781816,FALSE,"Blarina brevicauda","Blarina_brevicauda",0,0," Fryxell, J. M., B. Falls, et al. (1998). ""Long-term dynamics of small mammal populations in Ontario."" Ecology 79(1): 213-225.","Mammalia","Soricomorpha","Soricidae","Blarina","brevicauda","","Say, 1823","Northern short-tailed shrew","Wildlife Research Station near Lake Sasajewun, Algonquin Provincial Park, Ontario","Canada","Canada","North America","Americas","North America",45.595278,-78.523333,1,"Terrestrial","Nearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Number of individuals catched per unit effort","Live-trap",1952,1987,36,TRUE,"Blarina brevicauda",0.00207300272400339,0.000311459232109097,TRUE,TRUE,2435862
"118",4593,4,0.14375252871495,0.140091279709797,FALSE,"Aepyceros melampus","Aepyceros_melampus",1,0," Cross, P. (2005). Population dynamics of African Buffalo.","Mammalia","Artiodactyla","Bovidae","Aepyceros","melampus","NULL","Lichtenstein, 1812","Impala / Black-faced impala","Kruger National Park, South Africa","South Africa","South Africa","Africa","Africa","Southern Africa",-23.755,31.31111,1,"Terrestrial","Afrotropical","Tropical and subtropical grasslands, savannas and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Relative abundance","Aerial survey",1980,1993,14,TRUE,"Aepyceros melampus",0.466994121368874,0.164866539747909,FALSE,FALSE,2441144
"119",4594,6,0.414062437652288,0.374741326288412,FALSE,"Canis simensis","Canis_simensis",1,0," Marino, J., C. Sillero-Zubiri, et al. (2006). ""Trends, dynamics and resilience of an Ethiopian wolf population."" Animal Conservation. 9: 49-58.","Mammalia","Carnivora","Canidae","Canis","simensis","","R??ppell, 1835","Ethiopian wolf","Web Valley, Bale Mountains National Park, Ethiopia","Ethiopia","Ethiopia","Africa","Africa","East Africa and adjacent islands",7,39.75,1,"Terrestrial","Afrotropical","Montane grasslands and shrublands","NULL","NULL","NULL","NULL","NULL",0,"Individuals","total count",1987,1992,6,TRUE,"Canis simensis",0.478352679609702,1,FALSE,FALSE,5219143
"120",4595,4,0.364450484665433,0.325150444144724,FALSE,"Pipistrellus pipistrellus","Pipistrellus_pipistrellus",0,0," Gerell, R. and K. Gerell Lundberg (1993). ""Decline of a bat Pipistellus pipistrellus population in an industrialized area in south Sweden."" Biological Conservation 65: 153-157.","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","pipistrellus","NULL","Schreber, 1774","Common pipistrelle","Alnarp, South Sweden","Sweden","Sweden","Europe","Europe and Central Asia","Central and Western Europe",55.65833,13.08333,0,"Terrestrial","Palearctic","Boreal forests/taiga","NULL","NULL","NULL","NULL","NULL",0,"Total number of individuals","Box trap",1982,1987,6,TRUE,"Pipistrellus pipistrellus",0.1438229673586,0.180599616493924,FALSE,FALSE,5218465
"121",4597,3,0.627761661372597,0.497967503029102,FALSE,"Phyllotis darwini","Phyllotis_darwini",0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","Mammalia","Rodentia","Cricetidae","Phyllotis","darwini","","Waterhouse, 1837","Darwin's leaf-eared mouse","Las Chinchillas National Reserve (xeric-habitat population), Auc??","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Phyllotis darwini",0.0844424798090217,0.206375248304861,FALSE,FALSE,5219758
"122",4599,3,0.509342662632958,0.439097683415238,FALSE,"Phyllotis darwini","Phyllotis_darwini",0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","Mammalia","Rodentia","Cricetidae","Phyllotis","darwini","","Waterhouse, 1837","Darwin's leaf-eared mouse","Las Chinchillas National Reserve (mesic-habitat population), Auc??","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Phyllotis darwini",0.0524194915991774,0.0848572466061149,FALSE,FALSE,5219758
"123",4600,3,0.781903586461498,0.592712656038489,FALSE,"Abrothrix olivaceus","Abrothrix_olivaceus",0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","Mammalia","Rodentia","Cricetidae","Abrothrix","olivaceus","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.0556436929406643,0.107418695781126,FALSE,FALSE,4265094
"124",4601,3,0.663351121543913,0.524580470929198,FALSE,"Abrothrix olivaceus","Abrothrix_olivaceus",0,0," Lima, M., and Jaksic, F.M. (1998). ""Population dynamics of three Neotropical small mammals: Time series models and the role of delayed density-dependence in population irruptions."" Australian Journal of Ecology 24(1): 25-34.","Mammalia","Rodentia","Cricetidae","Abrothrix","olivaceus","NULL","Waterhouse, 1837","Olive grass mouse","Las Chinchillas National Reserve, Auco'","Chile","Chile","Latin America and Caribbean","Americas","South America",-31.5,-71.1,1,"Terrestrial","Neotropical","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population abundance","Live-traps",1987,1997,11,TRUE,"Abrothrix olivaceus",0.246608717571597,0.234702477955161,FALSE,FALSE,4265094
"125",4644,5,0.344177704924942,0.320294280324485,FALSE,"Enhydra lutris","Enhydra_lutris",0,0," Garshelis, D. L., Johnson, C.B. (2001). ""Sea otter population dynamics and the Exxon Valdez oil spill: disentagling the confounding effects."" Journal of Applied Ecology. 38(1): 19-35.","Mammalia","Carnivora","Mustelidae","Enhydra","lutris","NULL","(Linnaeus, 1758)","Sea otter","Gibbon Anchorage, Green Island, Prince William Sound, Alaska","United States","United States","North America","NULL","NULL",60.615,-147.16806,0,"Marine","NULL","NULL","NULL","NULL","Pacific north temperate","North Pacific Ocean","Unknown",0,"yearly mean count","Boat-based counts",1978,1983,6,TRUE,"Enhydra lutris",0.0135168815218258,0.056,TRUE,FALSE,2433670
"126",4798,6,0.0814590206021238,0.0809222843117358,FALSE,"Rhinolophus ferrumequinum","Rhinolophus_ferrumequinum",1,0," Battersby, J. E. (2005). UK Mammals: Species Status and Population Trends. J. Battersby, JNCC/Tracking Mammals Partnership: 116.","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","ferrumequinum","NULL","Schreber, 1774","Greater horseshoe bat","United Kingdom","United Kingdom","United Kingdom","Europe","Europe and Central Asia","Central and Western Europe",53,-2,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population Index","Hibernation Survey",1997,2011,15,TRUE,"Rhinolophus ferrumequinum",0.000616061225002974,0.00401080411023097,TRUE,TRUE,2432655
"127",4799,6,0.0751557064396158,0.0745852037336956,FALSE,"Rhinolophus ferrumequinum","Rhinolophus_ferrumequinum",1,0," Battersby, J. E. (2005). UK Mammals: Species Status and Population Trends. J. Battersby, JNCC/Tracking Mammals Partnership: 116.","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","ferrumequinum","NULL","Schreber, 1774","Greater horseshoe bat","England","United Kingdom","United Kingdom","Europe","Europe and Central Asia","Central and Western Europe",53,-2,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population Index","Colony Counts",1997,2003,7,TRUE,"Rhinolophus ferrumequinum",0.0110568353164678,0.0108,TRUE,TRUE,2432655
"128",4800,4,0.0143193282071598,0.0143168931016921,FALSE,"Rhinolophus hipposideros","Rhinolophus_hipposideros",1,0," Battersby, J. E. (2005). UK Mammals: Species Status and Population Trends. J. Battersby, JNCC/Tracking Mammals Partnership: 116.","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","hipposideros","NULL","Bechstein, 1800","Lesser horseshoe bat","UK","United Kingdom","United Kingdom","Europe","Europe and Central Asia","Central and Western Europe",53,-2,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population Index","Hibernation survey",1997,2003,7,TRUE,"Rhinolophus hipposideros",0.000218429174560984,0.0004,TRUE,TRUE,2432614
"129",4801,4,0.0249995033989796,0.0249807295295604,FALSE,"Rhinolophus hipposideros","Rhinolophus_hipposideros",1,0," Battersby, J. E. (2005). UK Mammals: Species Status and Population Trends. J. Battersby, JNCC/Tracking Mammals Partnership: 116.","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","hipposideros","NULL","Bechstein, 1800","Lesser horseshoe bat","United Kingdom","United Kingdom","United Kingdom","Europe","Europe and Central Asia","Central and Western Europe",53,-2,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests","NULL","NULL","NULL","NULL","NULL",0,"Population Index","Colony counts",1994,2002,9,TRUE,"Rhinolophus hipposideros",0.0000038061940672424,0.0001,TRUE,TRUE,2432614
