"","Species","GBIF_ID","mean_body_mass"
"1240","Eliurus petteri",4263422,75
"1241","Eliurus tanala",2438526,89.99
"1242","Eliurus webbi",2438524,61.13
"1243","Ellobius fuscocapillus",2438759,80
"1244","Ellobius lutescens",2438762,80
"1245","Ellobius talpinus",2438760,39
"1246","Ellobius tancrei",2438758,39
"1247","Emballonura alecto",2433121,5.25
"1248","Emballonura atrata",2433125,4.55
"1249","Emballonura beccarii",2433122,4.31
"1250","Emballonura dianae",2433120,13.21
"1251","Emballonura furax",2433124,15.94
"1252","Emballonura monticola",2433130,5
"1253","Emballonura raffrayana",2433123,5.61
"1254","Emballonura semicaudata",2433126,6.29
"1255","Enchisthenes hartii",4265356,16.99
"1256","Enhydra lutris",2433670,14147.75
"1257","Eoglaucomys fimbriatus",4264118,510
"1258","Eolagurus luteus",2438165,26
"1259","Eonycteris major",2432967,80.85
"1260","Eonycteris robusta",4265634,78.36
"1261","Eonycteris spelaea",2432968,54.5833333333333
"1262","Eospalax fontanierii",4264687,256.76
"1263","Eothenomys cachinus",4265027,19.59
"1264","Eothenomys melanogaster",2438894,19.59
"1265","Eothenomys miletus",4265026,19.59
"1266","Episoriculus caudatus",2435883,8.94
"1267","Episoriculus fumidus",2435892,6.95
"1268","Episoriculus leucops",2435888,9.35
"1269","Epixerus ebii",2437272,460
"1270","Epomophorus angolensis",2432786,88.75
"1271","Epomophorus crypturus",4265714,87.52
"1272","Epomophorus gambianus",2432790,80
"1273","Epomophorus grandis",2432788,49.42
"1274","Epomophorus labiatus",2432791,69.65
"1275","Epomophorus minor",4265716,57.205
"1276","Epomophorus wahlbergi",2432787,86.795
"1277","Epomops buettikoferi",2432803,135.67
"1278","Epomops dobsonii",2432801,122.08
"1279","Epomops franqueti",2432802,118.99
"1280","Eptesicus andinus",4266016,9.2
"1281","Eptesicus bobrinskoi",2432355,7.725
"1282","Eptesicus bottae",2432346,15.66
"1283","Eptesicus brasiliensis",2432368,9.2
"1284","Eptesicus chiriquinus",4265994,9.2
"1285","Eptesicus diminutus",2432372,5.99
"1286","Eptesicus dimissus",4266017,13.03
"1287","Eptesicus floweri",2432374,7.2
"1288","Eptesicus furinalis",2432362,7.7
"1289","Eptesicus fuscus",2432352,15.4983333333333
"1290","Eptesicus gobiensis",7261813,13
"1291","Eptesicus guadeloupensis",2432351,18.99
"1292","Eptesicus hottentotus",2432363,30.33
"1293","Eptesicus innoxius",2432353,7.49
"1294","Eptesicus japonensis",4265974,13
"1295","Eptesicus kobayashii",2432364,14.53
"1296","Eptesicus matroka",4266014,6.57
"1297","Eptesicus nasutus",2432365,7.91
"1298","Eptesicus nilssonii",7261816,13
"1299","Eptesicus pachyotis",2432378,8.1
"1300","Eptesicus platyops",2432367,18.2
"1301","Eptesicus regulus",2432347,5
"1302","Eptesicus serotinus",2432359,20.6
"1303","Eptesicus tatei",2432361,13.65
"1304","Equus asinus",2440891,197379.238233333
"1305","Equus burchelli",2440885,276000
"1306","Equus caballus",2440886,331523.751
"1307","Equus grevyi",2440894,384000
"1308","Equus hemionus",2440893,230000
"1309","Equus kiang",2440887,262500
"1310","Equus quagga",2440892,286666.666666667
"1311","Equus zebra",2440888,296000
"1312","Eremitalpa granti",2432155,24.45
"1313","Eremodipus lichtensteini",2439457,51
"1314","Erethizon dorsatum",6066824,6925.858243
"1315","Erethizon dorsatus",6066824,8304.865
"1316","Erignathus barbatus",2434816,281666.665
"1317","Erinaceus amurensis",5219617,774.475
"1318","Erinaceus concolor",5219624,770.9
"1319","Erinaceus europaeus",5219616,765.983333333333
"1320","Erinaceus roumanicus",5219618,771
"1321","Erophylla bombifrons",2433151,16.1
"1322","Erophylla sezekorni",2433150,16.1
"1323","Erythrocebus patas",2436548,6136.83333333333
"1324","Eschrichtius robustus",2440704,27900000
"1325","Eubalaena australis",2440332,34000000
"1326","Eubalaena glacialis",2440339,28457819.345
"1327","Eubalaena japonica",9747921,23000000
"1328","Euderma maculatum",2432579,16.17
"1329","Eudiscopus denticulus",2432561,7.2
"1330","Eudorcas rufifrons",7261425,25000
"1331","Eudorcas rufina",4262625,27000
"1332","Eudorcas thomsonii",7261427,24098.835
"1333","Eulemur albifrons",9131667,2426.29
"1334","Eulemur albocollaris",4266930,2408.185
"1335","Eulemur cinereiceps",4266932,2419
"1336","Eulemur collaris",9812996,2419
"1337","Eulemur coronatus",2436422,1672.425
"1338","Eulemur fulvus",9092265,2411.33333333333
"1339","Eulemur macaco",2436420,2476.1075
"1340","Eulemur mongoz",2436418,1735.2825
"1341","Eulemur rubriventer",2436421,1765.33
"1342","Eulemur rufus",4266934,2406.81
"1343","Eulemur sanfordi",4266929,2406.515
"1344","Eumetopias jubatus",2433462,346233.37
"1345","Eumops auripendulus",2432990,28.49
"1346","Eumops bonariensis",2432996,12.22
"1347","Eumops dabbenei",2432989,58.5
"1348","Eumops glaucinus",2432991,36.4
"1349","Eumops hansae",2432995,15.47
"1350","Eumops maurus",2432992,20.66
"1351","Eumops patagonicus",7261927,12.22
"1352","Eumops perotis",2432993,56.25
"1353","Eumops trumbulli",4266572,56.5
"1354","Eumops underwoodi",2432994,59.835
"1355","Euneomys chinchilloides",2438876,67.9425
"1356","Euneomys fossor",2438874,56.9
"1357","Euneomys mordax",2438877,81.99
"1358","Euneomys petersoni",2438875,75.57
"1359","Euoticus elegantulus",2436514,271
"1360","Euoticus pallidus",2436513,277.37
"1361","Eupetaurus cinereus",2437468,2521.1
"1362","Euphractus sexcinctus",2440799,6170.89310366667
"1363","Eupleres goudotii",2433512,2881.67
"1364","Euroscaptor klossi",2436221,60.46
"1365","Euroscaptor longirostris",2436220,60.46
"1366","Euroscaptor micrura",2436217,60.46
"1367","Euroscaptor mizura",2436213,25.05
"1368","Euroscaptor parvidens",2436218,60.46
"1369","Euryzygomatomys spinosus",2439737,187.49
"1370","Exilisciurus concinnus",2437388,27.72
"1371","Exilisciurus exilis",2437386,18.175
"1372","Exilisciurus whiteheadi",2437387,24.91
"1373","Falsistrellus mackenziei",4266082,23
"1374","Falsistrellus mordax",4266080,10.46
"1375","Falsistrellus petersi",4266078,9.05
"1376","Falsistrellus tasmaniensis",4266081,22.54
"1377","Felis bieti",2435040,5486.95
"1378","Felis catus",2435035,4573.08
"1379","Felis chaus",2435066,10000
"1380","Felis manul",2435023,3500
"1381","Felis margarita",2435028,2750
"1382","Felis nigripes",2435037,2125
"1383","Felis silvestris",7964291,4512.18
"1384","Felovia vae",2439823,205
"1385","Feresa attenuata",2440530,151500
"1386","Feroculus feroculus",2435791,35.99
"1387","Fossa fossana",2433529,1884.66
"1388","Funambulus palmarum",2437246,136.4
"1389","Funambulus pennantii",2437243,125.07
"1390","Funambulus sublineatus",2437247,70.93
"1391","Funambulus tristriatus",2437245,134.62
"1392","Funisciurus anerythrus",2437413,140.5
"1393","Funisciurus bayonii",2437419,134.99
"1394","Funisciurus carruthersi",2437416,276.85
"1395","Funisciurus congicus",2437412,112.15
"1396","Funisciurus isabella",2437415,84.655
"1397","Funisciurus lemniscatus",2437418,117.995
"1398","Funisciurus leucogenys",2437414,250
"1399","Funisciurus pyrropus",2437411,250.9175
"1400","Funisciurus substriatus",2437417,185.73
"1401","Furipterus horrens",2432769,3.15
"1402","Galago alleni",2436523,277.615
"1403","Galago cameronensis",4267288,277.615
"1404","Galago demidoff",4267292,65.55
"1405","Galago gabonensis",4267284,277.615
"1406","Galago gallarum",2436521,192.2
"1407","Galago granti",4267280,181.85
"1408","Galago matschiei",2436519,192.2
"1409","Galago moholi",2436522,176.656650566667
"1410","Galago nyasae",4267281,180
"1411","Galago senegalensis",9198359,185.3
"1412","Galago thomasi",4267291,63.8
"1413","Galago zanzibaricus",4267283,171.5
"1414","Galagoides demidoff",2436517,63.37140325
"1415","Galagoides zanzibaricus",2436516,141.9384309
"1416","Galea flavidens",5219700,450
"1417","Galea musteloides",5219699,332.591666666667
"1418","Galea spixii",5219701,405.305
"1419","Galemys pyrenaicus",5219516,60.735
"1420","Galenomys garleppi",2438414,59.3
"1421","Galeopterus variegates",4266848,1056.1
"1422","Galerella flavescens",5219130,750
"1423","Galerella pulverulenta",5219126,683
"1424","Galerella sanguinea",5219098,503.266666666667
"1425","Galictis cuja",5218901,1000
"1426","Galictis vittata",5218906,2337.5
"1427","Galidia elegans",2433507,800
"1428","Galidictis fasciata",5218783,549.99
"1429","Galidictis grandidieri",5218782,1400
"1430","Gazella arabica",5220158,24124.67
"1431","Gazella bennettii",5220147,22278.415
"1432","Gazella cuvieri",5220148,18924.4175
"1433","Gazella dorcas",5220149,29993.235
"1434","Gazella gazella",5220154,29284.1175
"1435","Gazella granti",5220144,45000
"1436","Gazella leptoceros",5220150,24645.75
"1437","Gazella saudiya",5220151,32185.735
"1438","Gazella spekei",5220157,20000
"1439","Gazella subgutturosa",5220146,26780.2283333333
"1440","Gazella thomsoni",5220152,20900
"1441","Genetta abyssinica",5219361,1405.48
"1442","Genetta angolensis",5219351,1859.64
"1443","Genetta cristata",5219349,1519.535
"1444","Genetta genetta",5219362,1866.685
"1445","Genetta johnstoni",5219352,2225
"1446","Genetta maculata",5219355,2225
"1447","Genetta pardina",5219360,1820
"1448","Genetta piscivora",5219350,1648.05
"1449","Genetta poensis",5219354,1820
"1450","Genetta servalina",5219342,1175.84
"1451","Genetta thierryi",5219353,1400
"1452","Genetta tigrina",5219356,1759.66666666667
"1453","Genetta victoriae",5219348,2743.69
"1454","Geocapromys brownii",2437650,1818.66666666667
"1455","Geocapromys ingrahami",2437651,754.26
"1456","Geocapromys thoracatus",2437649,1500
"1457","Geogale aurita",2432151,6.8
"1458","Geomys arenarius",2439372,200.375
"1459","Geomys attwateri",2439371,176.7
"1460","Geomys breviceps",2439376,176.7
"1461","Geomys bursarius",2439378,186.85
"1462","Geomys knoxjonesi",2439373,176.7
"1463","Geomys personatus",2439375,397
"1464","Geomys pinetis",2439377,197.875
"1465","Geomys texensis",2439370,176.7
"1466","Geomys tropicalis",2439374,397
"1467","Georychus capensis",5219653,187.226666666667
"1468","Geoxus valdivianus",2438116,30.8
"1469","Gerbilliscus afra",4264940,88.255
"1470","Gerbilliscus brantsii",4264943,82.205
"1471","Gerbilliscus guineae",4264949,102.5
"1472","Gerbilliscus inclusus",4264946,124.75
"1473","Gerbilliscus kempi",7962917,113
"1474","Gerbilliscus leucogaster",4264948,145.7
"1475","Gerbilliscus nigricaudus",4264945,118.5
"1476","Gerbilliscus phillipsi",4264941,127.07
"1477","Gerbilliscus robustus",4264947,94.495
"1478","Gerbilliscus validus",4264944,113
"1479","Gerbillurus paeba",2438751,31.2
"1480","Gerbillurus setzeri",2438753,42.35
"1481","Gerbillurus tytonis",2438752,29.845
"1482","Gerbillurus vallinus",2438750,37.91
"1483","Gerbillus agag",2437833,28.345
"1484","Gerbillus amoenus",2437812,26.95
"1485","Gerbillus andersoni",2437786,31.4
"1486","Gerbillus aquilus",2437837,35.675
"1487","Gerbillus cheesmani",2437830,35.675
"1488","Gerbillus floweri",2437804,39.9
"1489","Gerbillus garamantis",2437796,28.4
"1490","Gerbillus gerbillus",2437787,29.0225
"1491","Gerbillus gleadowi",2437838,26.055
"1492","Gerbillus grobbeni",2437816,28.4
"1493","Gerbillus henleyi",2437800,9.85
"1494","Gerbillus hesperinus",2437791,39.9
"1495","Gerbillus latastei",2437810,28.345
"1496","Gerbillus nanus",2437788,28.4
"1497","Gerbillus nigeriae",2437839,29.7
"1498","Gerbillus perpallidus",2437809,54.35
"1499","Gerbillus pusillus",2437822,12.5875
"1500","Gerbillus pyramidum",2437811,43.3
"1501","Gerbillus tarabuli",2437840,39.9
"1502","Gerbillus vivax",2437829,27.6
"1503","Giraffa camelopardalis",2441205,800009.22245
"1504","Giraffe camelopardalis",2441205,750000
"1505","Glaucomys sabrinus",2437331,129.676666666667
"1506","Glaucomys volans",2437338,64.2166666666667
"1507","Glauconycteris alboguttata",4266157,9.05
"1508","Glauconycteris argentata",4266162,9.3
"1509","Glauconycteris beatrix",4266153,7.5
"1510","Glauconycteris egeria",4266163,8.41
"1511","Glauconycteris gleni",4266154,10.81
"1512","Glauconycteris humeralis",4266159,5.49
"1513","Glauconycteris kenyacola",4266164,7.17
"1514","Glauconycteris poensis",4266160,6.91
"1515","Glauconycteris superba",4266165,15
"1516","Glauconycteris variegata",4266156,11.25
"1517","Glironia venusta",2439986,140
"1518","Glirulus japonicus",2439681,47.4
"1519","Glis glis",5706486,146.481666666667
"1520","Glischropus javanus",2432513,5.37
"1521","Glischropus tylopus",2432514,4.445
"1522","Globicephala macrorhynchus",2440605,1463000
"1523","Globicephala melas",2440596,1057557.7465
"1524","Glossophaga commissarisi",2433193,9.3
"1525","Glossophaga leachii",2433195,10.7
"1526","Glossophaga longirostris",2433192,12.2
"1527","Glossophaga morenoi",2433196,8.54
"1528","Glossophaga soricina",2433194,9.28333333333333
"1529","Glyphonycteris behnii",4265379,14.53
"1530","Glyphonycteris daviesi",4265381,18.61
"1531","Glyphonycteris sylvestris",4265380,8.91
"1532","Glyphotes simus",2437466,52.53
"1533","Golunda ellioti",2438299,58.465
"1534","Gorilla beringei",7262070,139842
"1535","Gorilla gorilla",2436441,133028.7475
"1536","Gracilinanus aceramarcae",2439854,21.75
"1537","Gracilinanus agilis",2439852,21.5
"1538","Gracilinanus agricolai",2439853,10
"1539","Gracilinanus dryas",2439849,18.265
"1540","Gracilinanus emiliae",2439851,10
"1541","Gracilinanus formosus",2439855,22.88
"1542","Gracilinanus marica",2439859,16.9
"1543","Gracilinanus microtarsus",2439856,18.75
"1544","Grammomys aridulus",2439199,37.01
"1545","Grammomys buntingi",2439196,43.7
"1546","Grammomys cometes",2439195,44.35
"1547","Grammomys dolichurus",2439202,51.85
"1548","Grammomys ibeanus",2439201,41.19
"1549","Grammomys kuru",4264883,53
"1550","Grammomys macmillani",2439197,37.01
"1551","Grammomys minnae",2439204,35.99
"1552","Grammomys poensis",4264884,51.515
"1553","Grampus griseus",5220027,425000
"1554","Graomys centralis",4265035,68.86
"1555","Graomys domorum",2438230,68.86
"1556","Graomys edithae",2438232,40.4
"1557","Graomys griseoflavus",2438231,68.86
"1558","Graphiurus angolensis",5706487,46.1
"1559","Graphiurus johnstoni",5706488,24
"1560","Graphiurus kelleni",5219905,10.5
"1561","Graphiurus microtis",5219915,24
"1562","Graphiurus murinus",5219911,31.2
"1563","Graphiurus nagtglasii",5706489,30
"1564","Graphiurus ocularis",5219907,68.3
"1565","Graphiurus platyops",5219908,46.1
"1566","Graphiurus rupicola",5219913,46.1
"1567","Gulo gulo",5219073,13853.96751
"1568","Gymnobelideus leadbeateri",2440054,149.417854733333
"1569","Gymnuromys roberti",2438764,97.5
"1570","Habromys chinanteco",2438988,40
"1571","Habromys ixtlani",4265159,84.99
"1572","Habromys lepturus",2438989,84.99
"1573","Habromys lophorus",2438987,27
"1574","Habromys lophurus",2438987,40
"1575","Habromys simulatus",2438990,40
"1576","Haeromys margarettae",2438870,14.04
"1577","Haeromys pusillus",2438869,11.49
"1578","Halichoerus grypus",2434806,182410.005
"1579","Handleyomys fuscatus",4265181,49.5
"1580","Handleyomys intectus",4265180,60.5
"1581","Hapalemur alaotrensis",4266941,1275.105
"1582","Hapalemur aureus",2436415,1476.205
"1583","Hapalemur griseus",2436414,1107.605
"1584","Hapalemur occidentalis",4266942,1202.71
"1585","Hapalomys delacouri",2438767,70
"1586","Hapalomys longicaudatus",2438766,70
"1587","Haplonycteris fischeri",2432937,18.0625
"1588","Harpiocephalus harpia",2432380,13.65
"1589","Harpiocephalus mordax",4266052,16.87
"1590","Harpyionycteris celebensis",2432841,126.125
"1591","Harpyionycteris whiteheadi",2432840,135.48
"1592","Heimyscus fumosus",2438925,17.2
"1593","Helarctos malayanus",2433403,46000
"1594","Heliophobius argenteocinereus",2437220,88.5
"1595","Heliosciurus gambianus",2437541,248.36
"1596","Heliosciurus mutabilis",2437544,326.5
"1597","Heliosciurus punctatus",2437542,211.105
"1598","Heliosciurus rufobrachium",2437540,278.25
"1599","Heliosciurus ruwenzorii",2437543,291
"1600","Heliosciurus undulatus",2437539,326.5
"1601","Helogale hirtula",2434159,484.63
"1602","Helogale parvula",2434165,274.8
"1603","Hemibelideus lemuroides",2440060,1040
"1604","Hemicentetes nigriceps",2432142,113.3
"1605","Hemicentetes semispinosus",2432143,148.666666666667
"1606","Hemiechinus auritus",2437125,370
"1607","Hemiechinus collaris",2437124,342
"1608","Hemigalus derbyanus",2434623,2375
"1609","Hemitragus hylocrius",5220175,82296.6025
"1610","Hemitragus jayakari",5220173,22210.18
"1611","Hemitragus jemlahicus",5220174,35397.9509
"1612","Herpailurus yagouarondi",2435156,6500
"1613","Herpestes brachyurus",2434300,1396.16
"1614","Herpestes edwardsi",2434286,1008
"1615","Herpestes fuscus",2434249,519.6
"1616","Herpestes ichneumon",2434255,2935.005
"1617","Herpestes javanicus",2434271,728.666666666667
"1618","Herpestes naso",2434299,3002.08
"1619","Herpestes semitorquatus",2434296,1396.16
"1620","Herpestes smithii",2434267,1702.5
"1621","Herpestes urva",2434244,2123.695
"1622","Herpestes vitticollis",2434293,2315
"1623","Hesperoptenus blanfordi",2432533,6.91
"1624","Hesperoptenus doriae",2432532,9.74
"1625","Hesperoptenus gaskelli",2432530,9.4
"1626","Hesperoptenus tickelli",2432531,16.3
"1627","Hesperoptenus tomesi",2432529,20.66
"1628","Heterocephalus glaber",5219654,35.1
"1629","Heterohyrax brucei",2437073,1802.2
"1630","Heteromys anomalus",2439570,69.3
"1631","Heteromys australis",2439568,267.49
"1632","Heteromys desmarestianus",2439574,72.9
"1633","Heteromys gaumeri",2439572,60.295
"1634","Heteromys goldmani",2439569,79.5
"1635","Heteromys irroratus",9259279,48.1
"1636","Heteromys nelsoni",2439573,76.275
"1637","Heteromys oresterus",2439571,79.45
"1638","Heteromys salvini",9567667,43.8
"1639","Hexaprotodon liberiensis",2441249,215000
"1640","Hippocamelus antisensis",2440980,68599.675
"1641","Hippocamelus bisulcus",2440981,69620.405
"1642","Hippopotamus amphibius",2441247,3195000
"1643","Hipposideros abae",5218580,31.87
"1644","Hipposideros armiger",5218572,49.99
"1645","Hipposideros ater",5218565,7.125
"1646","Hipposideros beatus",5218602,6.7
"1647","Hipposideros bicolor",5218592,8.39
"1648","Hipposideros breviceps",5218584,13.21
"1649","Hipposideros caffer",5218575,9.23
"1650","Hipposideros calcaratus",5218568,18.99
"1651","Hipposideros camerunensis",5218560,58.98
"1652","Hipposideros cervinus",5218596,8.4025
"1653","Hipposideros cineraceus",5218587,3.84
"1654","Hipposideros commersoni",5218577,104.4975
"1655","Hipposideros coronatus",5218563,15
"1656","Hipposideros corynophyllus",5218554,15.07
"1657","Hipposideros coxi",5218599,21.82
"1658","Hipposideros crumeniferus",5218590,21.82
"1659","Hipposideros curtus",5218581,13.21
"1660","Hipposideros cyclops",5218573,33.46
"1661","Hipposideros demissus",5706865,46.9
"1662","Hipposideros diadema",5218566,42.05
"1663","Hipposideros dinops",5218557,116.08
"1664","Hipposideros doriae",5218603,4.24
"1665","Hipposideros durgadasi",5706909,3.84
"1666","Hipposideros dyacorum",5218593,10.09
"1667","Hipposideros fuliginosus",5218569,31.11
"1668","Hipposideros fulvus",5218561,7.695
"1669","Hipposideros galeritus",5218606,8.9175
"1670","Hipposideros gigas",5706915,115.42
"1671","Hipposideros grandis",5706907,19.95
"1672","Hipposideros halophyllus",5218597,4
"1673","Hipposideros inexpectatus",5218588,136.34
"1674","Hipposideros inornatus",5706883,40.45
"1675","Hipposideros jonesi",5218578,5.49
"1676","Hipposideros lamottei",5218570,24.9
"1677","Hipposideros lankadiva",5218555,48.38
"1678","Hipposideros larvatus",5218600,19.95
"1679","Hipposideros lekaguli",5218582,31.08
"1680","Hipposideros lylei",5218574,62.19
"1681","Hipposideros macrobullatus",5218567,8.39
"1682","Hipposideros madurae",7261706,19.95
"1683","Hipposideros maggietaylorae",5218558,17.15
"1684","Hipposideros marisae",5218604,10.09
"1685","Hipposideros megalotis",5218594,7.2
"1686","Hipposideros muscinus",5218585,14.09
"1687","Hipposideros nequam",5218576,14.09
"1688","Hipposideros obscurus",5218562,9.6
"1689","Hipposideros papua",5218598,18.99
"1690","Hipposideros pelingensis",5706881,116.08
"1691","Hipposideros pomona",5218589,7.295
"1692","Hipposideros pratti",5218579,84.38
"1693","Hipposideros pygmaeus",5218571,3.53
"1694","Hipposideros ridleyi",5218564,9.59
"1695","Hipposideros ruber",5218556,10.035
"1696","Hipposideros semoni",5218583,14
"1697","Hipposideros speoris",5218559,10.39
"1698","Hipposideros stenotis",5218605,12
"1699","Hipposideros sumbae",7261716,19.95
"1700","Hipposideros thomensis",5706910,109.995
"1701","Hipposideros turpis",5218595,33.31
"1702","Hipposideros wollastoni",5218586,6.93
"1703","Hippotragus equinus",2441030,246750
"1704","Hippotragus leucophaeus",2441032,225000
"1705","Hippotragus niger",2441031,225000
"1706","Histiotus laephotis",4265951,9.95
"1707","Histiotus macrotus",2432300,9.95
"1708","Histiotus magellanicus",4265953,14.02
"1709","Histiotus montanus",2432299,15.94
"1710","Histiotus velatus",2432301,11.23
"1711","Histriophoca fasciata",2434810,61125
"1712","Hodomys alleni",2437929,367.795
"1713","Holochilus brasiliensis",5219709,155
"1714","Holochilus chacarius",5219711,155
"1715","Holochilus sciureus",5219708,120.42
"1716","Homo sapiens",2436436,61523.3333333333
"1717","Hoolock hoolock",5786121,6875
"1718","Hoplomys gymnurus",2439757,479.5
"1719","Hyaena brunnea",5218780,41988.965
"1720","Hyaena hyaena",5218777,36456.8366666667
"1721","Hybomys badius",4264897,53.13
"1722","Hybomys basilii",2439073,53.13
"1723","Hybomys lunaris",2439074,53.13
"1724","Hybomys planifrons",2439072,51.8
"1725","Hybomys trivirgatus",2439069,60.08
"1726","Hybomys univittatus",2439071,53.13
"1727","Hydrictis maculicollis",2434094,4000
"1728","Hydrochaeris hydrochaeris",2437610,35751.97187
"1729","Hydrochoeris hydrochaeris",4263032,51572.455
"1730","Hydrochoeris isthmius",4263031,21267.32
"1731","Hydrochoerus hydrochaeris",5786666,40692.5
"1732","Hydrodamalis gigas",2435289,6700000
"1733","Hydromys chrysogaster",2438706,698.028333333333
"1734","Hydromys habbema",2438709,89.77
"1735","Hydromys hussoni",2438707,103.46
"1736","Hydromys neobritannicus",4264994,685.51
"1737","Hydromys shawmayeri",2438708,68.58
"1738","Hydropotes inermis",2440931,12760.04
"1739","Hydrurga leptonyx",2434790,379115.73185
"1740","Hyemoschus aquaticus",2441230,11550
"1741","Hyladelphys kalinowskii",2439984,15.5
"1742","Hylobates agilis",5219550,5829.08
"1743","Hylobates albibarbis",5707402,5829.08
"1744","Hylobates klossii",5219546,5900
"1745","Hylobates lar",5219553,6502.1525
"1746","Hylobates moloch",5219552,6048.4
"1747","Hylobates muelleri",5219548,5909.81
"1748","Hylobates pileatus",5219544,5656.805
"1749","Hylobates syndactylus",5219551,10171.85124
"1750","Hylochoerus meinertzhageni",2441228,200315.235
"1751","Hylomys parvus",2437167,57.8
"1752","Hylomys suillus",2437169,67.55
"1753","Hylomyscus aeta",2439337,22.13
"1754","Hylomyscus alleni",2439341,19.97
"1755","Hylomyscus denniae",2439338,35.99
"1756","Hylomyscus grandis",4264862,22.13
"1757","Hylomyscus parvus",2439335,14.49
"1758","Hylomyscus stella",2439340,19.465
"1759","Hylonycteris underwoodi",2433220,7.5
"1760","Hylopetes alboniger",2437530,240
"1761","Hylopetes bartelsi",2437533,88
"1762","Hylopetes lepidus",2437536,63.28
"1763","Hylopetes nigripes",2437532,236.625
"1764","Hylopetes phayrei",2437528,226.99
"1765","Hylopetes platyurus",4264077,60.13
"1766","Hylopetes sipora",2437535,103.05
"1767","Hylopetes spadiceus",2437531,103.05
"1768","Hyomys dammermani",2438542,932.5
"1769","Hyomys goliath",2438543,874.37
"1770","Hyperacrius fertilis",2438381,22.25
"1771","Hyperacrius wynnei",2438380,52.6
"1772","Hyperoodon ampullatus",5220013,5925000
"1773","Hyperoodon planifrons",5220011,5440000
"1774","Hypogeomys antimena",2438545,1250
"1775","Hypsignathus monstrosus",2432958,336.97
"1776","Hypsiprymnodon moschatus",2440014,522.61270455
"1777","Hypsugo anthonyi",4266294,8.41
"1778","Hypsugo arabicus",4266281,3.17
"1779","Hypsugo ariel",4266289,4.07
"1780","Hypsugo bodenheimeri",4266295,2.73
"1781","Hypsugo cadornae",4266282,6.69
"1782","Hypsugo crassulus",4266290,6.09
"1783","Hypsugo eisentrauti",4266296,6.11
"1784","Hypsugo imbricatus",4266283,6.29
"1785","Hypsugo joffrei",4266291,9.05
"1786","Hypsugo kitcheneri",4266297,7.2
"1787","Hypsugo lophurus",4266284,6.64
"1788","Hypsugo macrotis",4266292,5.14
"1789","Hypsugo musciculus",4266276,1.99
"1790","Hypsugo pulveratus",4266285,5.53
"1791","Hypsugo savii",7261861,6.3
"1792","Hystrix africaeaustralis",5219885,16545.34
"1793","Hystrix brachyura",5219890,8000
"1794","Hystrix crassispinis",5219883,4584.6
"1795","Hystrix cristata",5219888,19166.665
"1796","Hystrix indica",5219884,17325
"1797","Hystrix javanica",5219887,8000
"1798","Hystrix pumila",5219889,3142.13
"1799","Hystrix sumatrae",5219886,4200
"1800","Ia io",2432577,49.3
"1801","Ichneumia albicauda",2434150,3500
"1802","Ichthyomys hydrobates",2437716,66.39
"1803","Ichthyomys pittieri",2437714,69.1
"1804","Ichthyomys stolzmanni",2437715,84.7
"1805","Ichthyomys tweedii",2437713,128.75
"1806","Ictidomys tridecemlineatus",7994322,179.28
"1807","Ictonyx libyca",2433860,362.59
"1808","Ictonyx striatus",2433840,860.51
"1809","Idionycteris phyllotis",2432525,12.565
"1810","Idiurus macrotis",2439363,27.23
"1811","Idiurus zenkeri",2439362,57.875
"1812","Indopacetus pacificus",2440391,2150000
"1813","Indri indri",2436432,8241.74
"1814","Inia geoffrensis",2440314,98500
"1815","Iomys horsfieldii",2437357,155.75
"1816","Iomys sipora",2437356,155.75
"1817","Irenomys tarsalis",2439210,43.15
"1818","Isoodon auratus",2435307,447.75
"1819","Isoodon macrourus",2435304,1469.390296
"1820","Isoodon obesulus",2435311,714.144995
"1821","Isothrix bistriata",2439754,444.99
"1822","Isothrix negrensis",4262992,444.99
"1823","Isothrix pagurus",2439755,210
"1824","Isothrix sinnamariensis",4262993,291.73
"1825","Isthmomys pirrensis",2438967,126.536666666667
"1826","Jaculus jaculus",5219895,62.3
"1827","Jaculus orientalis",5219894,138.076666666667
"1828","Juliomys pictipes",4265157,22.9
"1829","Juscelinomys candango",2438366,97.29
"1830","Kannabateomys amblyonyx",2439718,529.995
"1831","Kerivoula africana",2432555,3.5
"1832","Kerivoula agnella",2432537,7.2
"1833","Kerivoula argentata",2432544,10.11
"1834","Kerivoula cuprosa",2432538,5.61
"1835","Kerivoula eriophora",2432545,3.5
"1836","Kerivoula flora",2432539,5.28
"1837","Kerivoula hardwickii",2432546,4.55
"1838","Kerivoula intermedia",2432557,3.68
"1839","Kerivoula lanosa",2432558,6.66
"1840","Kerivoula lenis",4265890,10.21
"1841","Kerivoula minuta",2432540,2.03
"1842","Kerivoula muscina",2432550,5.29
"1843","Kerivoula myrella",2432559,7.2
"1844","Kerivoula papillosa",2432541,10.21
"1845","Kerivoula pellucida",2432542,4.14
"1846","Kerivoula phalaena",2432552,3.03
"1847","Kerivoula picta",2432543,4.5
"1848","Kerivoula smithii",2432553,5.86
"1849","Kerivoula whiteheadi",2432535,3.29
"1850","Kerodon rupestris",2437616,875.5
"1851","Kobus ellipsiprymnus",5220160,139495.283466667
"1852","Kobus kob",5220161,98758.8025
"1853","Kobus leche",5220162,91722.52
"1854","Kobus megaceros",5220159,88951.4825
"1855","Kobus vardonii",5220163,75748.965
