,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Metabolism_W,Trophic,Group,Mass_Spec_Meta_Watt,Inverse_Mass_Spec_Meta_Watt
574,1,1,Mammal,Rodentia,Otomys irroratus,102,0.474,Herbivore,Eutherian,0.004647059,215.1898734
882,1,1,Mammal,Rodentia,Oxymycterus roberti,83.5,0.508333333,Omnivore,Eutherian,0.006087824,164.2622952
600,1,9,Mammal,Rodentia,Paraxerus cepapi,223.6,0.811,Omnivore,Eutherian,0.003627013,275.7090012
885,1,9,Mammal,Rodentia,Paraxerus palliatus,366.6,1.472222222,Omnivore,Eutherian,0.004015882,249.0113208
886,1,1,Mammal,Rodentia,Parotomys brantsii,86.5,0.469444444,Herbivore,Eutherian,0.005427103,184.2603552
615,1,1,Mammal,Rodentia,Pedetes capensis,2300,4.425,Herbivore,Eutherian,0.001923913,519.7740113
622,1,1,Mammal,Rodentia,Perognathus flavus,8.3,0.097,Herbivore,Eutherian,0.011686747,85.56701031
62310,1,1,Mammal,Rodentia,Perognathus longimembris,8.9,0.052777778,Herbivore,Eutherian,0.005930087,168.6315782
893,1,1,Mammal,Rodentia,Perognathus parvus,19.2,0.16,Herbivore,Eutherian,0.008333333,120
894,1,9,Mammal,Rodentia,Peromyscus boylii,23.2,0.302777778,Omnivore,Eutherian,0.013050766,76.62385315
62410,1,9,Mammal,Rodentia,Peromyscus californicus,47,0.267,Omnivore,Eutherian,0.005680851,176.0299625
6251,1,9,Mammal,Rodentia,Peromyscus crinitus,20.5,0.162,Omnivore,Eutherian,0.007902439,126.5432099
6261,1,9,Mammal,Rodentia,Peromyscus eremicus,21,0.173,Omnivore,Eutherian,0.008238095,121.3872832
901,1,9,Mammal,Rodentia,Peromyscus gossypinus,21.5,0.205555556,Omnivore,Eutherian,0.009560724,104.5945944
62710,1,9,Mammal,Rodentia,Peromyscus leucopus,21.2,0.197222222,Omnivore,Eutherian,0.009302935,107.4929579
6283,1,9,Mammal,Rodentia,Peromyscus maniculatus,19.1,0.216666667,Omnivore,Eutherian,0.011343805,88.15384602
906,1,9,Mammal,Rodentia,Peromyscus megalops,66.2,0.505555556,Omnivore,Eutherian,0.007636791,130.9450548
907,1,9,Mammal,Rodentia,Peromyscus oreas,24.6,0.241666667,Omnivore,Eutherian,0.009823848,101.7931033
6291,1,9,Mammal,Rodentia,Peromyscus polionotus,12,0.119444444,Omnivore,Eutherian,0.009953704,100.4651167
910,1,9,Mammal,Rodentia,Peromyscus sitkensis,28.3,0.261111111,Omnivore,Eutherian,0.009226541,108.3829788
6301,1,9,Mammal,Rodentia,Peromyscus truei,33.1,0.307,Omnivore,Eutherian,0.009274924,107.8175896
63910,1,1,Mammal,Rodentia,Phenacomys intermedius,21.5,0.375,Herbivore,Eutherian,0.01744186,57.33333333
640,1,1,Mammal,Rodentia,Phenacomys intermedius,21.5,0.375,Herbivore,Eutherian,0.01744186,57.33333333
915,1,9,Mammal,Rodentia,Phodopus campbelli,24,0.219444444,Omnivore,Eutherian,0.009143519,109.3670888
6462,1,9,Mammal,Rodentia,Phodopus sungorus,31.3,0.313,Omnivore,Eutherian,0.01,100
655,1,9,Mammal,Rodentia,Phyllotis darwini,47,0.333,Omnivore,Eutherian,0.007085106,141.1411411
920,1,9,Mammal,Rodentia,Phyllotis magister,50.7,0.341666667,Omnivore,Eutherian,0.006738988,148.3902438
921,1,9,Mammal,Rodentia,Phyllotis xanthopygus,36.4,0.311111111,Omnivore,Eutherian,0.008547009,117
680,1,9,Mammal,Rodentia,Podomys floridanus,30.8,0.288,Omnivore,Eutherian,0.009350649,106.9444444
924,1,1,Mammal,Rodentia,Poliocitellus franklinii,607,2.19,Herbivore,Eutherian,0.003607908,277.1689498
6951,1,9,Mammal,Rodentia,Proechimys semispinosus,498,1.75,Omnivore,Eutherian,0.003514056,284.5714286
696,1,9,Mammal,Rodentia,Proechimys semispinosus,498,1.75,Omnivore,Eutherian,0.003514056,284.5714286
927,1,1,Mammal,Rodentia,Pseudomys gracilicaudatus,79.8,0.466666667,Herbivore,Eutherian,0.005847953,170.9999999
928,1,1,Mammal,Rodentia,Pseudomys hermannsburgensis,12.2,0.130555556,Herbivore,Eutherian,0.010701275,93.44680819
929,1,9,Mammal,Rodentia,Rattus colletti,165.7,0.683333333,Omnivore,Eutherian,0.004123919,242.487805
734,1,9,Mammal,Rodentia,Rattus fuscipes,76,0.469444444,Omnivore,Eutherian,0.006176901,161.8934913
735,1,9,Mammal,Rodentia,Rattus lutreolus,109,0.352777778,Omnivore,Eutherian,0.003236493,308.9763778
934,1,9,Mammal,Rodentia,Rattus norvegicus,206.9,1.404,Omnivore,Eutherian,0.006785887,147.3646724
736,1,9,Mammal,Rodentia,Rattus rattus,117,0.77,Omnivore,Eutherian,0.006581197,151.9480519
937,1,9,Mammal,Rodentia,Rattus sordidus,187,0.594444444,Omnivore,Eutherian,0.003178847,314.5794395
938,1,9,Mammal,Rodentia,Rattus villosissimus,247.8,0.811111111,Omnivore,Eutherian,0.003273249,305.5068494
738,1,1,Mammal,Rodentia,Reithrodon auritus,78.7,0.428,Herbivore,Eutherian,0.005438374,183.8785047
7396,1,9,Mammal,Rodentia,Reithrodontomys megalotis,7.6,0.111111111,Omnivore,Eutherian,0.014619883,68.40000007
740,1,1,Mammal,Rodentia,Rhabdomys pumilio,39.6,0.177777778,Herbivore,Eutherian,0.004489338,222.7499997
7473,1,9,Mammal,Rodentia,Saccostomus campestris,68.1,0.274,Omnivore,Eutherian,0.004023495,248.540146
760,1,1,Mammal,Rodentia,Sciurus aberti,624,2.402,Herbivore,Eutherian,0.003849359,259.7835137
949,1,1,Mammal,Rodentia,Sciurus carolinensis,440,2.062,Herbivore,Eutherian,0.004686364,213.385063
763,1,9,Mammal,Rodentia,Scotinomys teguina,12,0.174,Omnivore,Eutherian,0.0145,68.96551724
952,1,9,Mammal,Rodentia,Scotinomys xerampelinus,15.2,0.177777778,Omnivore,Eutherian,0.011695906,85.49999989
7655,1,9,Mammal,Rodentia,Sekeetamys calurus,59.5,0.255555556,Omnivore,Eutherian,0.004295051,232.8260866
955,1,1,Mammal,Rodentia,Sicista betulina,10,0.179,Herbivore,Eutherian,0.0179,55.86592179
956,1,9,Mammal,Rodentia,Sigmodon alleni,155.6,1.155555556,Omnivore,Eutherian,0.00742645,134.6538461
957,1,9,Mammal,Rodentia,Sigmodon fulviventer,166.4,1.363888889,Omnivore,Eutherian,0.008196448,122.0040733
7831,1,9,Mammal,Rodentia,Sigmodon hispidus,152.4,0.705555556,Omnivore,Eutherian,0.00462963,215.9999999
960,1,9,Mammal,Rodentia,Sigmodon leucotis,128.6,1.038888889,Omnivore,Eutherian,0.008078452,123.7860962
961,1,9,Mammal,Rodentia,Sigmodon ochrognathus,115.1,0.861111111,Omnivore,Eutherian,0.007481417,133.6645161
794,1,1,Mammal,Rodentia,Spalacopus cyanus,126.2,0.561,Herbivore,Eutherian,0.004445325,224.9554367
795,1,1,Mammal,Rodentia,Spalax ehrenbergi,133.8,0.585,Herbivore,Eutherian,0.004372197,228.7179487
966,1,1,Mammal,Rodentia,Spalax leucodon,201,0.830555556,Herbivore,Eutherian,0.004132117,242.0066888
967,1,9,Mammal,Rodentia,Spermophilus armatus,319.9,0.813888889,Omnivore,Eutherian,0.002544198,393.0511945
968,1,9,Mammal,Rodentia,Spermophilus beecheyi,599.6,1.772222222,Omnivore,Eutherian,0.002955674,338.3322884
969,1,9,Mammal,Rodentia,Spermophilus beldingi,302.7,0.705555556,Omnivore,Eutherian,0.002330874,429.0236218
970,1,9,Mammal,Rodentia,Spermophilus citellus,240,1.272,Omnivore,Eutherian,0.0053,188.6792453
971,1,9,Mammal,Rodentia,Spermophilus lateralis,270.1666667,0.726666667,Omnivore,Eutherian,0.002689698,371.7889907
796,1,9,Mammal,Rodentia,Spermophilus mohavensis,239.5,0.622222222,Omnivore,Eutherian,0.002598005,384.9107144
974,1,9,Mammal,Rodentia,Spermophilus richardsonii,274.5,0.736111111,Omnivore,Eutherian,0.002681643,372.9056604
975,1,9,Mammal,Rodentia,Spermophilus saturatus,252.2,0.9,Omnivore,Eutherian,0.003568596,280.2222222
976,1,9,Mammal,Rodentia,Spermophilus spilosoma,174.5,0.513888889,Omnivore,Eutherian,0.002944922,339.5675675
797,1,9,Mammal,Rodentia,Spermophilus tereticaudus,125.1,0.501,Omnivore,Eutherian,0.004004796,249.7005988
979,1,9,Mammal,Rodentia,Spermophilus townsendii,229.4,0.583333333,Omnivore,Eutherian,0.002542865,393.2571431
980,1,9,Mammal,Rodentia,Spermophilus tridecemlineatus,182.3,0.577777778,Omnivore,Eutherian,0.003169379,315.5192306
981,1,9,Mammal,Rodentia,Spermophilus undulatus,680,3.280555556,Omnivore,Eutherian,0.004824346,207.2819644
804,1,1,Mammal,Rodentia,Steatomys pratensis,37.5,0.105,Herbivore,Eutherian,0.0028,357.1428571
984,1,9,Mammal,Rodentia,Stochomys longicaudatus,105,0.419444444,Omnivore,Eutherian,0.003994709,250.3311261
827,1,1,Mammal,Rodentia,Tachyoryctes splendens,191,0.841666667,Herbivore,Eutherian,0.004406632,226.930693
987,1,9,Mammal,Rodentia,Tamias alpinus,39.1,0.322222222,Omnivore,Eutherian,0.008240978,121.3448277
832,1,9,Mammal,Rodentia,Tamias amoenus,55.7,0.5,Omnivore,Eutherian,0.008976661,111.4
990,1,9,Mammal,Rodentia,Tamias merriami,75,0.438888889,Omnivore,Eutherian,0.005851852,170.8860759
833,1,9,Mammal,Rodentia,Tamias minimus,49.3,0.349,Omnivore,Eutherian,0.007079108,141.260745
993,1,9,Mammal,Rodentia,Tamias palmeri,69.4,0.630555556,Omnivore,Eutherian,0.009085815,110.0616739
994,1,9,Mammal,Rodentia,Tamias speciosus,70.7,0.583333333,Omnivore,Eutherian,0.008250825,121.2000001
8341,1,9,Mammal,Rodentia,Tamias striatus,87.4,0.502777778,Omnivore,Eutherian,0.005752606,173.8342541
8351,1,9,Mammal,Rodentia,Tamiasciurus hudsonicus,224,1.361111111,Omnivore,Eutherian,0.006076389,164.5714286
8381,1,9,Mammal,Rodentia,Tatera indica,86.9,0.422,Omnivore,Eutherian,0.004856157,205.9241706
852,1,1,Mammal,Rodentia,Thallomys paedulcus,124.7,0.383333333,Herbivore,Eutherian,0.003074044,325.3043481
853,1,1,Mammal,Rodentia,Thomomys bottae,143,0.669444444,Herbivore,Eutherian,0.00468143,213.6099586
854,1,1,Mammal,Rodentia,Thomomys talpoides,106,0.608333333,Herbivore,Eutherian,0.005738994,174.2465754
1007,1,1,Mammal,Rodentia,Thomomys umbrinus,85,0.402777778,Herbivore,Eutherian,0.004738562,211.0344826
8551,1,1,Mammal,Rodentia,Thrichomys apereoides,323,1.152777778,Herbivore,Eutherian,0.003568971,280.192771
1010,1,1,Mammal,Rodentia,Tympanoctomys barrerae,71.4,0.430555556,Herbivore,Eutherian,0.00603019,165.8322579
1011,1,9,Mammal,Rodentia,Urocitellus beldingi,293.7,0.796,Omnivore,Eutherian,0.002710249,368.9698492
1012,1,9,Mammal,Rodentia,Urocitellus richardsonii,266.3,0.788,Omnivore,Eutherian,0.002959069,337.9441624
1013,1,9,Mammal,Rodentia,Uromys caudimaculatus,819,3.169444444,Omnivore,Eutherian,0.003869896,258.404908
898,1,9,Mammal,Rodentia,Xerus inauris,515.3,1.730555556,Omnivore,Eutherian,0.003358346,297.76565
1016,1,9,Mammal,Rodentia,Xerus princeps,627,1.975,Omnivore,Eutherian,0.00314992,317.4683544
900,1,1,Mammal,Rodentia,Zapus hudsonius,26.1,0.219,Herbivore,Eutherian,0.008390805,119.1780822
726,1,9,Mammal,Scandentia,Ptilocercus lowii,57.5,0.24,Omnivore,Eutherian,0.004173913,239.5833333
1021,1,9,Mammal,Scandentia,Tupaia belangeri,186,0.705555556,Omnivore,Eutherian,0.003793309,263.6220471
877,1,2,Mammal,Scandentia,Tupaia glis,123,0.522,Carnivore,Eutherian,0.004243902,235.6321839
1024,1,9,Mammal,Scandentia,Urogale everetti,260.6,1.25,Omnivore,Eutherian,0.004796623,208.48
866,1,1,Mammal,Sirenia,Trichechus inunguis,167594,55.015,Herbivore,Eutherian,0.000328264,3046.332818
1027,1,1,Mammal,Sirenia,Trichechus manatus,450000,70.0056,Herbivore,Eutherian,0.000155568,6428.057184
572,1,2,Mammal,Tubulidentata,Orycteropus afer,48000,34.26944444,Carnivore,Eutherian,0.000713947,1400.664667
1030,1,9,Mammal,Xenarthra,Bradypus variegatus,3790,3.827777778,Omnivore,Eutherian,0.001009968,990.130624
113,1,9,Mammal,Xenarthra,Cabassous centralis,3810,4.463888889,Omnivore,Marsupial,0.001171624,853.5158681
160,1,9,Mammal,Xenarthra,Chaetophractus nationi,2150,3.118,Omnivore,Marsupial,0.001450233,689.5445799
161,1,9,Mammal,Xenarthra,Chaetophractus vellerosus,1110,1.707,Omnivore,Marsupial,0.001537838,650.2636204
162,1,9,Mammal,Xenarthra,Chaetophractus villosus,4540,4.508,Omnivore,Marsupial,0.000992952,1007.098492
17210,1,1,Mammal,Xenarthra,Choloepus hoffmanni,4005.2,3.891,Herbivore,Eutherian,0.000971487,1029.349782
206,1,9,Mammal,Xenarthra,Cyclopes didactylus,240,0.636,Omnivore,Eutherian,0.00265,377.3584906
2171,1,9,Mammal,Xenarthra,Dasypus novemcinctus,3320,4.444444444,Omnivore,Marsupial,0.001338688,747.0000001
1045,1,9,Mammal,Xenarthra,Dasypus sabanicola,1380,1.733333333,Omnivore,Marsupial,0.001256039,796.1538463
288,1,9,Mammal,Xenarthra,Euphractus sexcinctus,8190,6.897222222,Omnivore,Marsupial,0.000842152,1187.434555
507,1,9,Mammal,Xenarthra,Myrmecophaga tridactyla,30600,14.50833333,Omnivore,Eutherian,0.000474129,2109.132683
689,1,9,Mammal,Xenarthra,Priodontes maximus,45190,16.88888889,Omnivore,Marsupial,0.000373731,2675.723684
8301,1,9,Mammal,Xenarthra,Tamandua mexicana,3500,5.075,Omnivore,Eutherian,0.00145,689.6551724
8311,1,9,Mammal,Xenarthra,Tamandua tetradactyla,3500,4.880555556,Omnivore,Eutherian,0.001394444,717.131474
8601,1,9,Mammal,Xenarthra,Tolypeutes matacus,1160,1.172,Omnivore,Marsupial,0.001010345,989.7610922
899,1,9,Mammal,Xenarthra,Zaedyus pichiy,1740,2.192,Omnivore,Marsupial,0.00125977,793.7956204
3100,2,3,Protist,Acanthamoebidae,Acanthamoeba castellani,1.34e-09,1.5e-11,,Heterotrophic protozoa,0.01119403,89.33333333
1065,2,3,Protist,Acanthamoebidae,Acanthamoeba sp.,4.32e-09,2.29e-11,,Heterotrophic protozoa,0.005300926,188.6462882
1066,2,3,Protist,Actinophryidae,Actinosphaerium eichhornii,1.4561e-05,5.82e-09,,Heterotrophic protozoa,0.000399698,2501.890034
1067,2,3,Protist,Apicomplexa,Eimeria acervulina,2.64e-09,5.28e-12,,Heterotrophic protozoa,0.002,500
1068,2,3,Protist,Apicomplexa,Eimeria stiedae,7.98e-09,2e-11,,Heterotrophic protozoa,0.002506266,399
248,2,3,Protist,Apicomplexa,Eimeria tenella,5.44e-09,1.25e-11,,Heterotrophic protozoa,0.002297794,435.2
66610,2,3,Protist,Apicomplexa,Plasmodium cathemerium,5.4e-11,9.72e-14,,Heterotrophic protozoa,0.0018,555.5555556
66710,2,3,Protist,Apicomplexa,Plasmodium gallinaceum,7.1e-11,5.68e-14,,Heterotrophic protozoa,8e-04,1250
66810,2,3,Protist,Apicomplexa,Plasmodium knowlesi,5.9e-11,5.31e-14,,Heterotrophic protozoa,9e-04,1111.111111
82,2,3,Protist,Bacillariophyta,Asterionella formosa,4.1e-10,1.47016161973943e-12,,Algae,0.00358576,278.880903
157,2,3,Protist,Bacillariophyta,Chaetoceros furcellatus,1.5e-10,6.13971900416742e-13,,Algae,0.004093146,244.3108551
188,2,3,Protist,Bacillariophyta,Coscinodiscus sp.,2.75e-07,1.90710796258078e-09,,Algae,0.006934938,144.1973949
1097,2,3,Protist,Bacillariophyta,Ditylum brightwellii,1.18e-07,4.16738406638023e-10,,Algae,0.003531681,283.1512482
1098,2,3,Protist,Bacillariophyta,Fragilaria crotonensis,3e-10,9.58406778393285e-12,,Algae,0.031946893,31.3019489
1099,2,3,Protist,Bacillariophyta,Leptocylindrus danicus,1.16e-09,6.99159095775876e-12,,Algae,0.006027234,165.9135963
1100,2,3,Protist,Bacillariophyta,Navicula pelliculosa,9.5e-11,1.24e-12,,Algae,0.013052632,76.61290323
63510,2,3,Protist,Bacillariophyta,Phaeodactylum tricornutum,6e-11,2.54281061677438e-12,,Algae,0.042380177,23.59593735
784,2,3,Protist,Bacillariophyta,Skeletonema costatum,6.5e-11,2.06878609333251e-13,,Algae,0.003182748,314.1939141
1123,2,3,Protist,Bacillariophyta,Stephanodiscus neoastraea,1.4e-08,1.18e-10,,Algae,0.008428571,118.6440678
1124,2,3,Protist,Bacillariophyta,Thalassiosira allenii,3e-10,7.8e-13,,Algae,0.0026,384.6153846
8501,2,3,Protist,Bacillariophyta,Thalassiosira nordenskioeldii,5e-10,5.43337964970568e-12,,Algae,0.010866759,92.02375542
1129,2,3,Protist,Bacillariophyta,Thalassiosira pseudonana,7.7e-11,1.12425191621275e-12,,Algae,0.014600674,68.48998778
851,2,3,Protist,Bacillariophyta,Thalassiosira weissflogii,5.29e-10,9.40604482779041e-12,,Algae,0.017780803,56.24042939
170,2,3,Protist,Chlorophyta,Chlamydomonas reinhardtii,2e-09,1.53240150227795e-11,,Algae,0.007662008,130.5140981
1140,2,3,Protist,Chlorophyta,Chlorella kessleri,9e-11,7.2409613196095e-13,,Algae,0.008045513,124.2928888
17110,2,3,Protist,Chlorophyta,Chlorella pyrenoidosa,3e-11,1.55103101176987e-13,,Algae,0.005170103,193.4197303
1147,2,3,Protist,Chlorophyta,Dunaliella salina,1.57e-09,6.28e-12,,Algae,0.004,250
2441,2,3,Protist,Chlorophyta,Dunaliella tertiolecta,6.9e-11,9.06037705109127e-13,,Algae,0.013130981,76.15577101
1162,2,3,Protist,Chlorophyta,Nannochloris atom,6e-12,4.24519749222274e-14,,Algae,0.007075329,141.3361807
1163,2,3,Protist,Chlorophyta,Scenedesmus obliquus,2.2e-10,2.2e-13,,Algae,0.001,1000
7585,2,3,Protist,Chlorophyta,Scenedesmus quadricauda,7e-11,3.08e-13,,Algae,0.0044,227.2727273
76610,2,3,Protist,Chlorophyta,Selena strum,5e-11,5.99576457445186e-13,,Algae,0.011991529,83.39220024
767,2,3,Protist,Chlorophyta,Selenastrum capricornutum,5e-11,6.45697723402508e-13,,Algae,0.012913954,77.43561451
768,2,3,Protist,Chlorophyta,Selenastrum capricornutum,5e-11,6.45697723402508e-13,,Algae,0.012913954,77.43561451
1176,2,3,Protist,Chlorophyta,Selenastrum minutum,7.7e-11,4.93e-13,,Algae,0.006402597,156.1866126
8651,2,3,Protist,Chlorophyta,Trebouxia sp.,1e-09,1.4e-12,,Algae,0.0014,714.2857143
109,2,3,Protist,Ciliophora,Bresslaua insidiatrix,1.7e-08,3.69e-10,,Heterotrophic protozoa,0.021705882,46.0704607
1182,2,3,Protist,Ciliophora,Coleps hirtus,9.1e-08,3.82e-10,,Heterotrophic protozoa,0.004197802,238.2198953
1183,2,3,Protist,Ciliophora,Colpidium campylum,5.44e-08,5.88e-10,,Heterotrophic protozoa,0.010808824,92.5170068
1184,2,3,Protist,Ciliophora,Frontonia leucas,7.45e-07,2.98e-10,,Heterotrophic protozoa,4e-04,2500
5931,2,3,Protist,Ciliophora,Paramecium aurelia,1.6e-07,4.64e-10,,Heterotrophic protozoa,0.0029,344.8275862
5941,2,3,Protist,Ciliophora,Paramecium calkinsi,1.57e-07,5.34e-10,,Heterotrophic protozoa,0.003401274,294.0074906
5951,2,3,Protist,Ciliophora,Paramecium caudatum,5.26e-07,1.05e-10,,Heterotrophic protozoa,0.00019962,5009.52381
1203,2,3,Protist,Ciliophora,Paramecium multimicronucleatum,6.85e-07,3.63e-09,,Heterotrophic protozoa,0.00529927,188.7052342
1204,2,3,Protist,Ciliophora,Podophrya fixa,1.49e-08,7.75e-12,,Heterotrophic protozoa,0.000520134,1922.580645
1205,2,3,Protist,Ciliophora,Spirostoma minus,5e-07,1.7e-09,,Heterotrophic protozoa,0.0034,294.1176471
1206,2,3,Protist,Ciliophora,Spirostomum ambiguum,1.2e-05,7.08e-08,,Heterotrophic protozoa,0.0059,169.4915254
800,2,3,Protist,Ciliophora,Spirostomum intermedium,2.29e-07,2.75e-10,,Heterotrophic protozoa,0.001200873,832.7272727
1209,2,3,Protist,Ciliophora,Spirostomum teres,4.23e-07,2.12e-10,,Heterotrophic protozoa,0.000501182,1995.283019
807,2,3,Protist,Ciliophora,Stentor coeruleus,6.8e-07,1.29e-09,,Heterotrophic protozoa,0.001897059,527.1317829
845,2,3,Protist,Ciliophora,Tetrahymena geleii,2.2e-08,1.3e-10,,Heterotrophic protozoa,0.005909091,169.2307692
846,2,3,Protist,Ciliophora,Tetrahymena pyriformis,2.2e-08,1.41e-10,,Heterotrophic protozoa,0.006409091,156.0283688
1237,2,3,Protist,Ciliophora,Tracheloraphis sp.,3.4e-07,5.44e-09,,Heterotrophic protozoa,0.016,62.5
1238,2,3,Protist,Ciliophora,Urostyla grandis,1.66e-07,9.46e-09,,Heterotrophic protozoa,0.056987952,17.54756871
167,2,3,Protist,Cryptophyta,Chilomonas paramecium,2.26e-09,3.62e-11,,Heterotrophic protozoa,0.016017699,62.43093923
230,2,3,Protist,Dictyosteliida,Dictyostelium discodeum,3.1e-10,2.36e-12,,Heterotrophic protozoa,0.007612903,131.3559322
1248,2,3,Protist,Dinophyceae,Noctiluca miliaris,0.000223986,3.14e-07,,Heterotrophic protozoa,0.001401873,713.3312102
2651,2,3,Protist,Entamoebidae,Entamoeba hystolitica,8.6e-09,3.44e-12,,Heterotrophic protozoa,4e-04,2500
79,2,3,Protist,Euglenida,Astasia klebsii,3.8e-09,6.84e-12,,Heterotrophic protozoa,0.0018,555.5555556
80,2,3,Protist,Euglenida,Astasia klebsii,3.8e-09,6.84e-12,,Heterotrophic protozoa,0.0018,555.5555556
81,2,3,Protist,Euglenida,Astasia longa,4.8e-09,2.11e-11,,Heterotrophic protozoa,0.004395833,227.4881517
281,2,3,Protist,Euglenozoa,Euglena gracilis,1.03e-08,7.21e-11,,Algae,0.007,142.8571429
261,2,3,Protist,Haptophyta,Emiliania huxleyi,6.4e-11,7.73152175026455e-13,,Algae,0.012080503,82.77801197
380,2,3,Protist,Haptophyta,Isochrysis galbana,3e-11,2.04837521906825e-13,,Algae,0.006827917,146.4575422
381,2,3,Protist,Haptophyta,Isochrysis galbana,3e-11,2.04837521906825e-13,,Algae,0.006827917,146.4575422
489,2,3,Protist,Haptophyta,Monochrysis lutheri,2.5e-11,2.1e-13,,Algae,0.0084,119.047619
634,2,3,Protist,Haptophyta,Phaeocystis globosa,1.06e-10,3.38560890035336e-12,,Algae,0.031939707,31.30899142
1298,2,3,Protist,Kinetoplastida,Pleuromonas jaculans,2.5e-11,3e-13,,Heterotrophic protozoa,0.012,83.33333333
1299,2,3,Protist,Myzozoa,Gonyaulax polyedra,2.1e-08,1.2e-10,,Algae,0.005714286,175
342,2,3,Protist,Myzozoa,Gonyaulax tamarensis,1.52e-08,2.74831437216435e-10,,Algae,0.018081016,55.30662778
1306,2,3,Protist,Myzozoa,Gymnodinium nelsoni,1.48e-07,1.63e-10,,Algae,0.001101351,907.9754601
1307,2,3,Protist,Myzozoa,Peridinium gatunense,1e-08,2.80940275417625e-10,,Algae,0.028094028,35.59475403
698,2,3,Protist,Myzozoa,Prorocentrum micans,4.34e-09,3.73181002554388e-11,,Algae,0.008598641,116.2974527
822,2,3,Protist,Myzozoa,Symbiodinium sp.,5e-10,5.0358149732788e-12,,Algae,0.01007163,99.28879489
1318,2,3,Protist,Ochrophyta,Ochromonas sp.,7e-11,3.92e-13,,Algae,0.0056,178.5714286
557,2,3,Protist,Ochrophyta,Olisthodiscus luteus,1.02e-09,7.56541483766121e-12,,Algae,0.007417073,134.8240674
1325,2,3,Protist,Ologotrichia,Strombidium capitatum,2e-07,5.73823879902447e-09,,Algae,0.028691194,34.85389978
1326,2,3,Protist,Paramoebidae,Mayorella palestinensis,8.3e-09,3.07e-11,,Heterotrophic protozoa,0.003698795,270.3583062
6161,2,3,Protist,Pelobiontida,Pelomyxa carolinensis,4.9708e-05,2.49e-08,,Heterotrophic protozoa,0.000500925,1996.305221
1334,2,3,Protist,Pelobiontida,Pelomyxa palustris,9e-05,6.3e-08,,Heterotrophic protozoa,7e-04,1428.571429
1335,2,3,Protist,Trichomonada,Trichomonas batrachorum,5.6e-10,1.06e-12,,Heterotrophic protozoa,0.001892857,528.3018868
8681,2,3,Protist,Trichomonada,Trichomonas foetus,5.8e-10,1.57e-12,,Heterotrophic protozoa,0.002706897,369.4267516
1339,2,3,Protist,Trichomonada,Trichomonas nasai,2.1e-10,1.7e-12,,Heterotrophic protozoa,0.008095238,123.5294118
869,2,3,Protist,Trichomonada,Trichomonas vaginalis,8.7e-10,8.7e-13,,Heterotrophic protozoa,0.001,1000
1342,2,3,Protist,Trichosida,Trichosphaerium sieboldi,1e-10,4e-13,,Heterotrophic protozoa,0.004,250
1941,2,3,Protist,Trypanosomatidae,Crithida fasciculata,3e-11,1.37039171062817e-13,,Heterotrophic protozoa,0.004567972,218.9155098
2631,2,3,Protist,Trypanosomatidae,Endotrypanum schaudinni,1.14e-10,9.58e-14,,Heterotrophic protozoa,0.000840351,1189.979123
408,2,3,Protist,Trypanosomatidae,Leishmania brasiliensis,7e-12,1.54e-13,,Heterotrophic protozoa,0.022,45.45454545
409,2,3,Protist,Trypanosomatidae,Leishmania donovani,1.8e-11,1.67e-13,,Heterotrophic protozoa,0.009277778,107.7844311
410,2,3,Protist,Trypanosomatidae,Leishmania enrietti,1.2e-11,8.4e-14,,Heterotrophic protozoa,0.007,142.8571429
1365,2,3,Protist,Trypanosomatidae,Schizotrypanum verpertilionis,1.08e-10,2.27e-13,,Heterotrophic protozoa,0.002101852,475.7709251
8751,2,3,Protist,Trypanosomatidae,Trypanosoma cruzi,1.07e-10,1.61e-13,,Heterotrophic protozoa,0.001504673,664.5962733
876,2,3,Protist,Trypanosomatidae,Trypanosoma lewisi,5.8e-11,5.22e-14,,Heterotrophic protozoa,9e-04,1111.111111
43,2,3,Protist,Tubulinida,Amoeba proteus,9e-07,9e-10,,Heterotrophic protozoa,0.001,1000
16410,2,3,Protist,Tubulinida,Chaos chaos,9.644e-06,1.25e-08,,Heterotrophic protozoa,0.001296143,771.52
1425,3,4,Plant,Fabales,Acacia mangium,366456.1377,37.08380295,,Whole tree,0.000101196,9881.838122
1426,3,4,Plant,Fabales,Acacia mangium,334523.7835,24.19152601,,Whole tree,7.23163111333005e-05,13828.13897
1427,3,4,Plant,Fabales,Acacia mangium,228528.3058,23.16435781,,Whole tree,0.000101363,9865.514411
1428,3,4,Plant,Fabales,Acacia mangium,159420.8058,12.32994856,,Whole tree,7.73421542910624e-05,12929.55968
1429,3,4,Plant,Fabales,Acacia mangium,146127.1789,9.861188597,,Whole tree,6.74836034704247e-05,14818.41438
1430,3,4,Plant,Fabales,Acacia mangium,131085.6042,10.56105403,,Whole tree,8.05660857945694e-05,12412.17058
1431,3,4,Plant,Fabales,Acacia mangium,94267.93637,6.224568702,,Whole tree,6.60306032110711e-05,15144.49288
1432,3,4,Plant,Fabales,Acacia mangium,28245.48264,4.531242079,,Whole tree,0.000160424,6233.496721
1433,3,4,Plant,Fabales,Acacia mangium,8880.573233,1.060193811,,Whole tree,0.000119383,8376.367737
1434,3,4,Plant,Fagales,Betula platyphylla,44300.02793,4.919174907,,Whole tree,0.000111042,9005.580969
